data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
sau mấy ngày sử dụng cập nhật hay sao ý nó không cho xem yt nữa mọi người ạ 💩,,,,,,,,,,Negative,
Hệ điều hành phiên bản mới nhất.,,,,,,,,,,Neutral,
Điện thoại không tải được ch play,,,,,,,,,,Negative,
"Ngoại hình ổn, full chức năng, có nfc cửa hàng gửi nhầm cáp sạc usb to type c, củ sạc type c to type c nên không để sạc được nhưng liên hệ cửa hàng hỗ trợ nhiệt tình",,,,,Neutral,,,Positive,,,
Ah em mua nho can than nha co may loi dung cung không được dau,,,,,,,,,,Negative,
"máy đẹp, còn rất mới. cửa hàng tư vấn tận tâm, nhiệt tình. chúc cửa hàng luôn đắt khách",,,,,Positive,,,Positive,,,
"Kém chất lượng sai lệch thiếu đóng gói lỏng. Shipping trễ, phí cao đỏ.,",,,,,,Negative,Negative,,Negative,,
Tư vấn sạc nhanh . Nhưng sạc 8 tiếng chưa đầy pin. Máy bóc ra đã lỗi mic. Gửi bảo hành thì cũng vẫn v. Chán,Negative,,,,,,,Negative,,,
Chưa sử dụng nên chưa đánh giá được thời lượng pin,Neutral,,,,,,,,,,
"Nhóm màu: hồng khuyên các bạn không lên mua hàng bên này,hàng mua thanh toán luôn mà cả tuần chưa thấy nhà bán hàng giao hàng cho bên vận chuyển mình mua từ 0h38 ngày 06/06 mà nay 12h ngày 13/06 mới nhận được hàng",,,,,,,,,Negative,,
"Màu sắc: xanh biển tuy giao lộn nhưng nhìn tổng quan hàng vẫn tốt,đẹp,giá cũng hợp lý, chất lượng phải thời gian mới biết,cửa hàng nhiệt tình, tốt",,,,,Positive,,Positive,Positive,,,
"Cửa hàng giao hàng nhanh, máy sử dụng khá mượt. Mình mua tặng cho mẹ, chỉ sử dụng các tác vụ nhẹ cơ bản thôi nên oke nha",,,Positive,,,,,,Positive,,
"hoàn thiện chưa tốt, vỏ lủng 1 lổ phía trên camera trước. màn hình đẹp nhưng không sáng lắm. mua cho người già sử dụng hợp lí",,,,Neutral,Negative,,,,,,
