sentence,aspect,true_sentiment,predicted_sentiment,confusion_type
máy xài cũng tốt mà pin sạc 3 tiếng không đầy được . thân máy bị hở,Design,negative,positive,negative → positive
"hình ảnh và video mang tính chất nhận xu. máy đẹp, hàng chính hãng mã vna, cầm nhẹ tay, sử dụng 1 thời gian nữa thì mới rõ hiệu năng và pin thế nào. hiện tại thì 10 điểm",Design,positive,neutral,positive → neutral
"Giao hàng đầy đủ, đúng loại nhưng không phải là hàng mới vì ống kính camera rất cũ và trầy xước rất nhiều, chứng tỏ máy cũ không đúng như quảng cáo nhưng vì máy rẻ hơn cửa hàng khác nên cũng tạm chấp nhận!",Design,negative,positive,negative → positive
Variation3: bạc variation1: không hộp (mới 100%) lần đầu tiên mua qua mạng hơi sợ xíu nhưng lúc bốc hàng máy mới không một vét xướt mua với giá 2 triệu 7 là quá ngon rồ sạc kèm theo là hiệu hoco sẽ ủng hộ cho lần tiếp theo,Design,negative,positive,negative → positive
ngoại hình ổn áp nhưng pin thì hư. lấy hàng thì trả tiền liền mà trả hàng có nhận được tiền lại không hay mất cả 2 thì chưa biết nhưng chắc chắn 1 điều trả hàng lại và nhận được tiền là rất lâu vì vậy tôi phải tự đi thay pin mới,Design,neutral,positive,neutral → positive
"Chất lượng sản phẩm: 8 
Đúng với mô tả: 7 
Tính năng nổi bật: máy ngoại hình ổn máy ngoại hình ổn, đẹp. cấu hình máy không đúng chỉ ram6/128 với tiêu đề đăng bán 8/256.",Performance,negative,neutral,negative → neutral
Không có tai nghe. Trong khi mua hàng bấm vào link Facebook có ghi tặng cả loa. Máy mới mượt,Performance,positive,negative,positive → negative
"Hiệu năng bị đơ. Dễ treo máy. Hiệu năng kém. Máy hay bị đơ cứng, phải chờ 1 lúc hoặc khởi động lại. Chăm sóc khách hàng bảo kiểm tra lại mạng. Pin sử dụng cũng bình thường",Performance,negative,neutral,negative → neutral
"màu ở ngoài xinh lắm, chụp lên trông nhạt nhạt nhưng mà ở ngoài hồng sáng xinh cực. mọi người nên mua, tính năng máy đều ổn. hiện tại chưa xuất hiện lỗi hay giật lag gì đâu nhaa.",Performance,neutral,positive,neutral → positive
"Điện thoại mới. Test máy mượt, camera hơi cùi nhưng chơi game thì tốt",Performance,positive,negative,positive → negative
