sentence,aspect,true_sentiment,predicted_sentiment,confusion_type
"Máy sử dụng ổn, chơi game hơi nóng 1 xíu sử dụng quạt hoặc ngồi máy lạnh sẽ cải thiện",General,positive,neutral,positive → neutral
Nhóm màu: yellow dung lượng lưu trữ: 128gb hàng chính hảng tốt. Nhưng chọn màu vàng mà mặt sau nó ra màu kem trắng hơi nữ tính hu hu..,General,positive,negative,positive → negative
Đúng với mô tả: đúng Chất lượng sản phẩm: sử dụng tạm Tính năng nổi bật: không,General,positive,neutral,positive → neutral
"Máy nhận nguyên vẹn, như thông tin được gắn nhãn",General,positive,neutral,positive → neutral
Tính năng nổi bật: nghe gọi lướt sóng Đúng với mô tả: đúng Chất lượng sản phẩm: bình thường không được ổn như cái đầu mua mua của cửa hàng cái thứ 2 nhưng vẻ lỗi hơn 1 chút. Thấy loa zalo bé lắm. Hên xui thật đấy. Ảnh minh họa. Sửa lại 3 sao thôi nhé.,General,positive,negative,positive → negative
"Sau 15 ngày sử dụng, máy xử lý mượt, chạy đa tác vụ ổn, không bị đơ ứng dụng, camera nét. Cửa hàng mak có bảo hành thêm màn hình nữa thì tốt hơn.",Performance,positive,neutral,positive → neutral
"Chất lượng sản phẩm: khá tốt Tính năng nổi bật: snap 845 Đúng với mô tả: đúng với mô tả máy và trải nghiệm khá tốt nhưng máy đã thay màn nên cảm ứng khá chậm với màn bị bầm nhẹ, chiến game vẫn khá ngon với cửa hàng hỗ trợ nhiệt tình nên cho 4sao",Performance,positive,negative,positive → negative
Chất lượng sản phẩm: tạm Đúng với mô tả: đúng Tính năng nổi bật: không có lag,Performance,positive,neutral,positive → neutral
"Hiệu năng bị đơ. Dễ treo máy. Hiệu năng kém. Máy hay bị đơ cứng, phải chờ 1 lúc hoặc khởi động lại. Chăm sóc khách hàng bảo kiểm tra lại mạng. Pin sử dụng cũng bình thường",Performance,negative,neutral,negative → neutral
"Sử dụng làm điện thoại phụ cũng tốt, hơi đơ hơi load chậm xíu nhưng với giá này cũng được rồi.",Performance,negative,neutral,negative → neutral
"Nguyên seal, mình cần ht ship nhanh cửa hàng cũng ht nhiệt tình, để sử dụng 1tg mới đánh giá được . Nhìn chung khá tốt, cam hơi xấu chút , chủ yếu để lướt mxh nghe gọi",Camera,negative,positive,negative → positive
