sentence,aspect,true_sentiment,predicted_sentiment,confusion_type
"Đóng gói siêu ẩu. Hàng không có chống sốc. Không được bảo vệ. Hộp hàng bị móp méo nặng, may mà bên trong không sao. Shipping thì đúng hẹn. Pin sử dụng được lâu",Packaging,negative,positive,negative → positive
Mình mua màu đỏ cửa hàng giao màu xanh mình có nhắn lại cửa hàng nói kiểm tra ròi xong im luôn không thấy trả lời gì hết 😕 cũng hơi buồn nhưng có được tặng kèm củ sạc với dây đóng gói tạm,Packaging,positive,negative,positive → negative
"Nhóm màu: Màu đen bóng khả năng lưu trữ: 128gb đặt màu đen giao màu xám, rất mới. Pin xạc 100%lúc 20h đến 5h sáng còn 92% dù không sử dụng gì. Tụt pin hơi nhanh. Rất hài lòng. Sạc theo hộp sạc rất nhanh. Hy vọng máy bền. Tặng cửa hàng 5 sao.!",Packaging,negative,positive,negative → positive
"Đúng với mô tả: Đúng 
Chất lượng sản phẩm: Hơi trầy xước 
Tính năng nổi bật: Chơi game rất mượt ngọc ơi anh yêu em rất nhiều tôi yêu nguyễn đỗ thảo ngọc rất nhiều ngọc ơi anh yêu em",Design,negative,positive,negative → positive
Máy khá nặng,Design,neutral,negative,neutral → negative
"Giao hành nhanh, máy chạy tốt, hàng gói kỹ, nói chung là sử dụng được trong tâm giá, mẫu mã hơi sến thôi",Design,neutral,positive,neutral → positive
"Tính năng nổi bật: Cấu hình mạnh, máy mượt, cam đẹp trong tầm giá. 
Đúng với mô tả: Không đúng ram rom chỉ 6/128 thôi 
Chất lượng sản phẩm: Ổn nhận xét sau 2 tuần sửa dụng máy,máy đã thay vỏ nhưng mình vẫn chấp nhận được vì máy đã ra mắt khá lâu rồi h mà đào ra máy nguyên zin trong tầm giá rẻ như này thì không thể, đáng lẻ mình sẽ đánh giá 5 sao nhưng hàng dựng lại rất sơ sài nắp lưng không thấy 1 tý keo nào bị bung ra hết khá là buồn😞 mong cửa hàng nên kiểm tra cẩn thận và kĩ càng hơn khi giao hàng tới tay người sử dụng",Design,negative,positive,negative → positive
"Màu sắc: Tím nhạt bộ nhớ: Ram 8g/128g màn hình đẹp không ám ố, khung viền có cấn móp, xước dăm, mặt lưng kính đẹp không trầy xước, pin còn tầm 82%, máy mất áp suất rồi. Khay sim trùng imei với máy. Cùng chip 865 mà sử dụng thấy máy sony nóng, tản nhiệt không tốt bằng con samsung s20",Design,positive,negative,positive → negative
"Nhóm màu: Blue 
Dung lượng lưu trữ: 128gb đập hộp tại nhà. Giao hàng nhanh hơn 1 ngày là nhận được. Máy được kích hoạt bảo hành tại ngày đặt mua. Pin ổn sử dụng được 1 ngày. Cần mua thêm cục sạc. Máy hoạt động mượt mà ngon nghẻ, chế độ chụp đêm không sống động bằng ip11. Hài lòng khi mua được giá tốt có voucher giảm 800k của lzd nhân ngày sinh nhật lzd",Camera,negative,positive,negative → positive
"Với tầm giá 2tr thì đây là sản phẩm đáng tiền mua về sử dụng tác vụ bình thường đáng mua nha mọi người, điện thoại màn hình đẹp nhiều tính năng hay anh em mua về giải trí được, máy không thiên về quay chụp. Giá 2tr như vậy quá tốt rồi không đòi hỏi gì thêm 5 sao",Camera,neutral,positive,neutral → positive
