sentence,aspect,sentiment
Sản phẩm tốt mỗi tội không được kiểm hàng,General,positive
"Chip A16 trên Iphone , 256gb lưu trữ bộ nhớ trong, dùng làm việc văn phòng.",General,neutral
chất lượng sản phẩm phần cứng yếu cảm giác rẻ tiền. đúng với mô tả 1 vài thông số đúng nhưng trải nghiệm khác. tính năng nổi bật hiệu năng đồ họa rất kém. review chơi game lag fps rớt liên tục. camera ban đêm tệ nhiều noise. giao hàng trễ 5 ngày tracking không cập nhật. đổi trả rườm rà mất thời gian,Shop_Service,negative
chất lượng sản phẩm phần cứng yếu cảm giác rẻ tiền. đúng với mô tả 1 vài thông số đúng nhưng trải nghiệm khác. tính năng nổi bật hiệu năng đồ họa rất kém. review chơi game lag fps rớt liên tục. camera ban đêm tệ nhiều noise. giao hàng trễ 5 ngày tracking không cập nhật. đổi trả rườm rà mất thời gian,Shipping,negative
"Tính năng nổi bật: pin lâu 
Đúng với mô tả: đúng mô tả 
Chất lượng sản phẩm: tốt
Sản phẩm như mô tả, giá thành hợp lý, giao hàng nhanh chóng , pin lâu, màn hình lớn, sạc nhanh",Price,positive
"Nhóm màu: màu xanh lá cây 
Dung lượng lưu trữ: 128gb ⚡ 
Hiệu suất: tuổi thọ pin lâu dài., màu sắc tuyệt đẹp, khó lựa chọn!, độ phân giải hiển thị tuyệt vời, độ phân giải hiển thị tuyệt vời,",Display,positive
Mình chưa cài đặt ứng dụng nào nên chưa đánh giá được hiệu năng của máy.,Performance,neutral
"Màu sắc: bạc 
Phân loại: nguyên seal không sạc sản phẩm chất lượng. Nếu có nhu cầu sẽ ủng hộ cửa hàng nữa",General,positive
"Em này ngoại hình khá mới luôn, chỉ bị cổng sạc hơi xấu , chữ harman kardon hơi mờ còn lại mới keng. Sạc kèm theo khá tốt, sạc nhanh mà ít nóng hơn hơn cả con 22.5w chính hãng của mình. Loa ẻm thì tốt thôi rồi, âm bass các thứ đập siêu đã, màn hình cũng ổn, mình không chơi game nên chip 2,3 năm còn tốt chán. Cửa hàng khá tốt, giải đáp hỗ trợ khá ổn. Nhưng bị cái cam hơi xấu bù lại cũng nhiều tính năng nên mua nhá",Shop_Service,positive
Sản phẩm được đóng gói ở mức tạm. Quá trình vận chuyển không nhanh nhưng cũng không quá lâu.,Packaging,neutral
"Mình chưa có thời gian để kiểm tra kỹ camera, sẽ quay lại đánh giá sau.",Camera,neutral
"Color: đen-xl thời trang hàn quốc hợp thời, tuyệt vời cho phong cách đường phố,",Others,neutral
ảnh chụp bị ám màu xanh lá. máy bị lỗi kết nối bluetooth. cảm biến tiệm cận không hoạt động. hiệu năng xử lý ảnh chậm. chăm sóc khách hàng đổ lỗi cho khách hàng không biết dùng. shipper từ chối giao hàng buổi tối,Shipping,negative
Âm thanh loa bị méo tiếng khi mở lớn. Loa bị rách. Camera tele không chụp được. Pin hao nhanh khi sử dụng gps. Chăm sóc khách hàng không đưa ra giải pháp cụ thể. Đơn hàng bị giao sai mẫu,Shipping,negative
Giao hơi lâu chút. Nhưng đúng hàng.,Shipping,negative
"Đã mua cửa hàng lần thứ 2, lần đầu mua con 3xl sử dụng bể nát màn hình mà vẫn còn mượt, con 5 này 99% thì như máy mới rồi, pin cực trâu sử dụng nghe gọi, zalo, coi video tới tối mới phải sạc. Nói chung đáng đồng tiền bát gạo",Battery,positive
Hiệu năng xử lý các tác vụ cơ bản ở mức chấp nhận được.,Performance,neutral
Camera cho ra ảnh có chi tiết ở mức vừa phải.,Camera,neutral
Sản phẩm tốt săn được sale giá rẻ nhưng giao hàng lâu cửa hàng uy tín sẽ ủng hộ thêm,Price,positive
Mình mới nhận máy nên chưa thể đánh giá về thời lượng pin.,Battery,neutral
Màn hình có kích thước 6.7 inch và độ phân giải Full HD+.,Display,neutral
"Màu máy: màu xanh sản phẩm: samsung a50s 4/64gb cửa hàng bán hàng uy tín riết chắc tôi hết tiền với cái cửa hàng này luôn quá bán đồ gì đâu mà món nào cũng rẻ cũng chất lượng hết lãnh lương là tôi qua mua liền, đặt online liền hai cái 10 điểm cho cửa hàng nha nhận hàng rất là ưng ý luôn chất lượng tuyệt vời mà giá cả thì phải chăng nữa nhân viên dễ thương tư vấn nhiệt tình nhé màn hình tuyệt đẹp bộ xử lý nhanh và hiệu quả giá trị tuyệt vời cho số tiền bỏ ra tặng cửa hàng đủ năm sao",Price,positive
"Đúng với mô tả: hai long 
Tính năng nổi bật: tốt 
Chất lượng sản phẩm: tốt
Đẹp",General,positive
Thiết kế sản phẩm có trọng lượng nhẹ.,Design,neutral
"mua nhầm. sai sự thật về pin. nóng máy. máy nóng kinh khủng, pin tụt nhanh. hiệu năng tệ. đóng gói ko có bảo vệ. ship chậm 5 ngày. camera chụp ngược sáng tệ",Packaging,negative
"sau 9 ngày thì hư phím cứng, bảo hành mất tận 11 ngày, dịch vụ rất tệ, gửi hàng hỏa tốc mất gần 3 ngày trong khi giáp tỉnh",Shipping,negative
Giá bán của sản phẩm tương xứng với cấu hình được trang bị.,Price,neutral
"Chất lượng sản phẩm: tôt 
Đúng với mô tả: đúng 
Tính năng nổi bật: hem biết sử dụng hơi lag nhẹ, đúng giá tiền",General,positive
Chính sách bảo hành cho sản phẩm này là 12 tháng.,Shop_Service,neutral
Hiện tại dịch vụ chăm sóc khách hàng hỗ trợ những kênh liên lạc nào?,Shop_Service,neutral
Sản phẩm được giao với bao bì còn nguyên vẹn. Thời gian vận chuyển theo đúng dự kiến của sàn thương mại điện tử.,Packaging,neutral
"Sản phẩm đẹp, tốt, đúng màu. Sử dụng tốt",Design,positive
"Nhóm màu: desert 
Dung lượng lưu trữ: 256gb lần đầu đặt mua điện thoại trên lz, hoang mang lo sợ quá triệu, sau 2 ngày đặt máy giao tới khá nhanh, test sài được 1 tuần mới dám đánh giá, máy tốt chuẩn chính hãng nha mọi người, mua trên đây giá rẻ hơn ngoài nhiều. mọi người yên tâm mua nha",Price,positive
"Màn hình có hỗ trợ tần số quét cao, mình chưa rõ cách kích hoạt tính năng này.",Shop_Service,neutral
"Chất lượng sản phẩm: ổn 
Tính năng nổi bật: nghe gọi chọi 
Đúng với mô tả: đúng màn hình lớn, nhạc chưa được rõ. chưa biết pin sử dụng được bao lâu",Display,positive
Đúng với mô tả: oke hàng tốt chất lượng chính hãng đảm bảo tin tưởng tuyệt đối với cửa hàng quá là tuyệt vời luôn. Hình ảnh mang tính chất nhận xu sẽ ủng hộ cửa hàng nhiều lần hoen nữa mãi đỉnh,General,positive
"Variation3: đen variation1: không hộp (mới 100%) tốt hình ảnh chỉ mang tính chất minh họa không nói lên được điều gì . Nhưng phải công nhận là máy ngon,quá tốt luôn",General,positive
Màu máy: màu đen sản phẩm: samsung j2 prime 16g không giống trong hình vậy mà máy không lên màn hình nữa,General,negative
Một thời gian sẽ đánh giá sau về hiệu năng khi mở nhiều ứng dụng cùng lúc.,General,neutral
"máy cơ bản nhìn tốt, màn coi được không sắc xảo lắm nhưng có 5g khá mạnh.",General,positive
"hoàn thiện chưa tốt, vỏ lủng 1 lổ phía trên camera trước. màn hình đẹp nhưng không sáng lắm. mua cho người già sử dụng hợp lí",Display,neutral
"Nhóm màu: nhiều màu 
Dung lượng lưu trữ: 256gb hàng ngon nha xác bạn. Tôi tính mua bản 2 sim nhưng lỡ book không để ý nên hàng về bản 1 sim. Máy ổn, ít nóng khi sử dụng 4g liên tục. Chơi game mượt. Màn ngoài có 1 vết trầy nhưng không ảnh hưởng đến hiển thị. Nói chung là tốt trong tầm giá.",Price,positive
"Nhóm màu: white 
Dung lượng lưu trữ: 256gb giao hàng nhanh chóng và hiệu quả.",Shipping,positive
Nhóm màu: đen chất lượng sản phẩm tuyệt vời,General,positive
Không có khe thẻ nhớ. Muốn sử dụng tai nghe có dây phải mua thêm bộ chuyển đổi type c sang 3.5. Tối ưu game khá tốt. Tản nhiệt có hơi kém. Chơi game nhẹ làm bố luôn game nặng thì hơi nóng phải kèm sò vào không thì không chơi lâu được. Trigger sử dụng ổn áp mỗi tội cứ ấn là rung lên không thích sử dụng lắm.,General,neutral
