sentence,aspect,true_sentiment,predicted_sentiment,confusion_type
"Sản phẩm mới, không kèm phụ kiện,đóng gói cẩn thận, chuẩn bị hàng lâu,giao hàng nhanh, máy chạy không mượt",Packaging,positive,negative,positive → negative
"Chất lượng sản phẩm: chất lượng tốt Đúng với mô tả: đúng với mô tả Tính năng nổi bật: chưa sử dụng nên không biết cửa hàng gói hàng chỉ bọc 1 lớp chống sốc mỏng, sợ trong quá trình gửi hàng có bị quăng quật ảnh hưởng tới điện thoại bên trong. Gửi hộp nguyên seal, đúng với những phần nhà sản xuất công bố",Packaging,negative,positive,negative → positive
"Chất lượng sản phẩm: wifi/4g hay rớt. Đúng với mô tả: kết nối được quảng cáo ngon hơn. Tính năng nổi bật: thu sóng yếu. Review: mạng hay mất kết nối, phải bật tắt chế độ máy bay mới lên, streaming giật, đóng gói tốt nhưng ship lâu",Packaging,positive,negative,positive → negative
"Màu sắc: xanh biển giao nhầm nhưng điện thoại sử dụng ổn, cần cẩn thận hơn khâu gói hàng",Packaging,negative,positive,negative → positive
"Điện thoại sử dụng ổn, được tặng kèm quà xinh. Săn được giá sale cũng hời ạ. Đỉm trừ là đóng hàng giao tới, cái hộp hơi nát ạ",Packaging,negative,positive,negative → positive
"Mới nhận tết thử cảm quan ban đầu cho thấy, màn hình hiển thị không đẹp,không có chiều sâu nói chung là màn hình kém, camera ở mức trung bình đủ sử dụng, còn bền hay không phải đợi tg mới biết",Display,negative,neutral,negative → neutral
Tính năng nổi bật: không bt Đúng với mô tả: đúng Chất lượng sản phẩm: đẹp màn đểu quá không đa điểm được 6 ngón là hết viền dưới dày cộp,Display,negative,positive,negative → positive
"Chất lượng sản phẩm: như mới Tính năng nổi bật: màu đen máy tốt, tuy nhiên sử dụng được 16n thì màn hỏng, hết bảo hành thì mình chấp nhận, cách giải quuết của cửa hàng cũng hơp lý, tuy nhiên cửa hàng nên lưu ý khi giao máy cho khách hoặc dưới mô tả điện thoại.",Display,negative,positive,negative → positive
"Phiên bản 8/256, ngoại hình 90%, màn hình xướt nhẹ, đã dán sẵn miếng dán ppf, mặt lưng và camera xướt nhiều, pin không trâu lắm, loa hay như loa bluetooth, cổng sạc đôi khi không ăn điện, săn sale được giá 4tr",Display,negative,positive,negative → positive
Phân loại sản phẩm: 1 sim 6/128gb dung lượng lưu trữ: 128gb dung du. Test tốt. Man bao ve mat không sang nhu dog s8,Display,negative,positive,negative → positive
"Đầu năm mua s24u, 2 tháng sau mua s25u. Mình không rành công nghệ nhưng sử dụng rồi thì thấy khác",General,neutral,positive,neutral → positive
Tính năng nổi bật: nhỏ gọn Chất lượng sản phẩm: sử dụng khá ổn Đúng với mô tả: đúng có vài chức năng vẫn chx ổn nhưng sử dụng để gọi khá ổn,General,neutral,positive,neutral → positive
