data,Battery,Camera,Performance,Display,Design,Software,Packaging,Price,Audio,Warranty,Shop_Service,Shipping,General,Others
Nói thật có tiền mọi người mua máy mới mới 1 tý. Máy đời cổ sử dụng cùi lắm. Đừng ham rẻ,,,,,,,,Negative,,,,,,
"Hồi đầu sử dụng muợt được vài tuần thì máy tự nhiên nóng và cực kì lag, nóng thì bỏng tay, màn hình thì ms chạm tí nc là loạn điên có lúc phải reset máy",,,Negative,Negative,,,,,,,,,,
Màn hình lắt quá phải tắc màn hình rồi mở lại mới ổn định chắc đi thay màn hình mới sài được,,,,Negative,,,,,,,,,,
Chất lượng sản phẩm: kém đêm camera chất lượng. Đúng với mô tả: đúng không đêm quảng cáo. Tính năng nổi bật: yếu pin lag đơ. Review: dụng nhiễu vô đêm. Mau đơ hết game máy. Không chăm sóc khách hàng quyết giải vấn đề,Negative,Negative,Negative,,,,,,,,Negative,,,
"Chất lượng sản phẩm: camera chụp ảnh xóa phông rất giả tạo. Đúng với mô tả: hiệu năng chơi game không tốt. Tính năng nổi bật: pin chỉ đủ sử dụng trong nửa ngày. Review: xóa phông nhìn rất khó chịu, viền bị lẹm. Chơi game hay bị đứng hình. Pin quá yếu. Shipper giao hàng thái độ không tốt",Negative,Negative,Negative,,,,,,,,,Negative,,
"Dễ trầy xước màu không đúng màn hình tối, chạy chậm. Nhìn màu trên web là xanh đậm mà khi nhận được lại là xanh nhạt, màn hình tối hơn quảng cáo, sử dụng nặng là bị đơ.",,,Negative,Negative,,,,,,,,,,
Chất lượng sản phẩm: hiệu năng tụt thảm hại sau 1 tháng sử dụng. Đúng với mô tả: tốc độ xử lí nhanh như chớp. Tính năng nổi bật: chip mạnh nhưng không tối ưu được nhiệt độ. Review: chơi game 15p là máy nóng sập nguồn. Pin chai nhanh bất thường. Ship không đúng hẹn làm lỡ việc của tôi,Negative,,Negative,,,,,,,,,Negative,,
"Rất thất vọng. Ảnh quảng cáo quá lố. Pin chai. Pin mới sử dụng đã có hiện tượng chai. Hiệu năng ì ạch. Đóng gói mỏng, hàng bị trầy xước. Ship trễ. Chăm sóc khách hàng trả lời tin nhắn 24h sau",Negative,,Negative,,,,Negative,,,,Negative,Negative,,
"Lắp sim mạng vina thì gọi được lúc không, chập chờn, trong khi miêu tả thì sử dụng mọi mạng. Điên quá đập luôn máy",,,Negative,,,,,,,,,,,
"Giá bán đúng như niêm yết, chính sách bảo hành áp dụng theo quy định của nhà sản xuất.",,,,,,,,Neutral,,Neutral,,,,
"Hiệu năng của máy ở mức chấp nhận được cho các tác vụ thông thường, không có gì nổi bật. Pin đáp ứng đủ một ngày sử dụng cơ bản.",Neutral,,Neutral,,,,,,,,,,,
"Pin 5000 cũng thấy khá ổn,cho cửa hàng 5 sao",Positive,,,,,,,,,,,,,
Chất lượng sản phẩm: vỏ máy bị nứt sau 1 tháng Đúng với mô tả: chất liệu kém bền Tính năng nổi bật: dễ vỡ khi rơi nhẹ review: máy bị nứt vỏ dù sử dụng cẩn thận,,,,,Negative,,,,,,,,,
Phân loại sản phẩm: đen sản phẩm giống như mô tả,,,,,,,,,,,,,Neutral,
"Nhóm màu: màu xanh lá cây dung lượng lưu trữ: 128gb thời lượng pin lâu dài, các tính năng đổi mới, màn hình sắc nét, hiệu suất mượt mà, chất lượng camera ấn tượng, sang trọng và thanh lịch, các tính năng đổi mới, màn hình sắc nét,",Positive,Positive,Positive,Positive,,,,,,,,,,
Tạm ổn màn hình còn rất chậm còn pin nhanh hết nữa cần khắc phục hơn,Negative,,,Negative,,,,,,,,,,
Hộp đựng sản phẩm được bọc kín bằng ni-lông,,,,,,,Neutral,,,,,,,
"Chất lượng sản phẩm: giao hàng cho người khác mà không thông báo. Đúng với mô tả: không. Tính năng nổi bật: không. Review: shipper tự ý gửi hàng cho nhà hàng xóm mà không gọi cho mình một tiếng, làm mình phải chạy đi tìm hỏi, rất phiền phức",,,,,,,,,,,,Negative,,
Chất lượng sản phẩm:  tốt Tính năng nổi bật: âm thanh lớn và hay nghe ngoài trời cũng không vấn đề gì vẫn nghe rõ người bên kia nói gì,,,,,,,,,Positive,,,,,
"Đúng với mô tả: tuyệt vời Tính năng nổi bật: tốt Chất lượng sản phẩm: tuyệt vời một con máy rất tuyệt,tốt nhất trong phân khúc 2-3 triệu máy chạy mượt camera tạm ổn",,Neutral,Positive,,,,,Positive,,,,,,
Màu sắc: xanh matcha 🔋thời lượng pin:ổn 📸chất lượng camera:tạm ⚡hiệu suất:ổn máy vẫn chậm nhưng phù hợp với giá cả. Giá cửa hàng tốt hơn các chỗ khác,Neutral,,Neutral,,,,,Positive,,,,,,
phụ kiện đi kèm không tốt cho lắm,,,,,,,,,,,,,Negative,
"Camera out nét. Khác xa mô tả. Pin kém. Ảnh hay bị out nét, rung tay là mờ. Máy lag, dễ nóng. Chăm sóc khách hàng trả lời tin nhắn 2 ngày sau",Negative,Negative,,,,,,,,,Negative,,,
Chất lượng sản phẩm: pin bị lỗi không nhận sạc nhanh sau 1 tháng. Đúng với mô tả: pin sạc nhanh 65w. Tính năng nổi bật: sạc pin chậm như rùa mất 5 tiếng mới đầy. Review: sạc nhanh bị hỏng phải sạc cả đêm. Hiệu năng giảm rõ rệt. Chăm sóc khách hàng không xác nhận lỗi,Negative,,Negative,,,,,,,,Negative,,,
Chất lượng sản phẩm: microphone thu âm bị lẫn tiếng rè khi quay video. Đúng với mô tả: thu âm rõ ràng lọc ồn tốt. Tính năng nổi bật: quay video bị lẫn tạp âm khó chịu. Review: quay video nghe rè rè rất khó chịu. Đóng gói sơ sài không có hóa đơn bảo hành,,Negative,,,,Negative,Negative,,,Negative,,,,
"Pin phồng sau 2 tuần bảo hành mơ hồ tụt pin nhanh, máy nóng lúc sạc,",Negative,,,,,,,,,Negative,,,,
"Chất lượng sản phẩm: rất tệ. Đúng với mô tả: sai sự thật. Tính năng nổi bật: nóng máy khi sử dụng. Review: máy nóng ran chỉ sau khi lướt web 10p, hiệu năng kém, lướt facebook cũng không mượt. Pin thì tụt nhanh, vừa sạc vừa sử dụng máy nóng bỏng tay.",Negative,,Negative,,,,,,,,,,,
"Đóng gói sản phẩm đơn giản, chỉ đủ để bảo vệ máy. Hiệu năng chơi game nhẹ thì cũng cũng được.",,,Neutral,,,,Neutral,,,,,,,
Màn hình có kích thước tiêu chuẩn như nhiều dòng máy khác.,,,,Neutral,,,,,,,,,,
Chất lượng sản phẩm: lượng chất kém đêm camera. Đúng với mô tả: đêm không đúng quảng cáo. Tính năng nổi bật: đơ yếu lag pin mau. Review: kém vô nhiễu dụng đêm chụp. Pin mau hết đơ game máy. Giải vấn đề chăm sóc khách hàng không quyết,Negative,Negative,,,,,,,,,Negative,,,
"Chất lượng sản phẩm: hiệu năng kém, lag nhiều. Đúng với mô tả: chip không mạnh như quảng cáo. Tính năng nổi bật: camera chụp tệ. Review: máy chạy chậm, đa nhiệm kém. Camera chụp ảnh mờ, màu giả. Đóng gói lỏng lẻo, ship trễ. Chăm sóc khách hàng không hỗ trợ tốt",,Negative,Negative,,,,Negative,,,,Negative,Negative,,
"Mua về chơi game nhẹ, loa lớn nghe được mọi tiếng! hàng full box",,,,,,,,,Positive,,,,,
"Nhóm màu: black dung lượng lưu trữ: 128gb thiết kế mượt mà, yêu thích!,",,,,,Positive,,,,,,,,,
