sentence,aspect,sentiment,predicted_sentiment,confusion_type,error_count_for_sentence
"Pin không trâu lắm, thiết kế đẹp. 4 sao cho cửa hàng",Battery,negative,positive,negative → positive,1
"Thiết kế đẹp. Pin sử dụng 1 ngày rưỡi, chưa hoàn hiện ở chỗ sạc nhánh không sử dụng được, không sạc đến 80% tự ngắt,",Battery,negative,positive,negative → positive,1
"đây là điện thoại mình đặt cho ba chủ yếu là vì cấu hình khoẻ, máy nhẹ ,bền, và dung lượng pin 6000mah",Battery,neutral,positive,neutral → positive,1
"Nhóm màu: natural 
Dung lượng lưu trữ: 256gb mặc dù có chút vấn đề liên quan giao hàng, trải nghiệm giao hàng thực sự tệhiệu suất máy ảnh ấn tượng, ⚡ 
Hiệu suất:mạnh 📸 
Chất lượng camera: tốt 🔋 
Thời lượng pin: tốt",Battery,positive,negative,positive → negative,1
Snapdragon 685 yếu sinh lí. Máy pin rất trâu,Battery,positive,negative,positive → negative,2
"Đúng với mô tả: không đúng như mô tả
Chất lượng sản phẩm: tệ 
Tính năng nổi bật: pin trâu, sạc nhanh. Chỉ có khuyết duy nhất và cũng là khó chịu nhất là cài đặt quá nhiều ứng dụng bên ngoài không cần thiết hay phải nói là ứng dụng quá tào lao và còn tự động chạy không cho phép tắt, trong đó có ứng dụng demi, nó có thể tự tiện thay đổi cài đặt của ứng dụng khác và tự động chạy cho dù có tắt nó đi hoặc không cấp bất cứ quyền gì. Đánh giá chung là trải nghiệm quá tệ. Nếu chỉ sử dụng để chơi game thì không sao, nếu để sử dụng như một chiếc điện thoại bình thường cho công việc hàng ngày thì không nên mua. Sẽ không bao giờ quay lại sử dụng điện thoại của hãng này nữa. Trải nghiệm quá tệ.",Battery,positive,negative,positive → negative,1
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: trung bình
Tính năng nổi bật: giá hợp lý máy sử dụng có độ trễ khi mở app, có sạc siêu nhanh. Giao hàng chậm, hơn 4 ngày mới nhận được hàng.",Battery,positive,negative,positive → negative,1
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt 
Tính năng nổi bật: pin trâu săn với giá tốt nên khá hài lòng về sản phẩm. Nhưng thời gian giao hàng hơi tệ phải tự ra cửa hàng nhận sản phẩm.",Battery,positive,negative,positive → negative,1
Anh chị cân nhắc khi mua tuỳ nhu cầu của cá nhân sử dụng ngoại quan máy ổn camera có bụi trước & sau. Pin chấp nhận được,Camera,negative,positive,negative → positive,1
"Nguyên seal, mình cần ht ship nhanh cửa hàng cũng ht nhiệt tình, để sử dụng 1tg mới đánh giá được . Nhìn chung khá tốt, cam hơi xấu chút , chủ yếu để lướt mxh nghe gọi",Camera,negative,positive,negative → positive,1
Nhóm màu: xanh sản phẩm đẹp như mới 90% . Chức năng ổn định . Màn hình mượt . Mic ổn . Wifi tốt . Mạng tốt . Camera lỗi chụp ảnh rất mờ chế độ x1 x2 x... Rất chi là mờ ảo không rõ nét . Đánh giá sản phẩm 2 vì giá cả cũng rẻ là 1tr8 nên cho vậy .,Camera,negative,positive,negative → positive,1
"Thời lượng pin ngon. Chất lượng camera hơi tối, không nét lắm. Hiệu suất cũng tốt",Camera,negative,positive,negative → positive,1
"Mua xong hối hận không như mong đợi quá nhiều điểm trừ. Máy hoàn thiện kém, hiệu năng yếu, pin không trâu, camera bình thường. Không có gì đáng mua.",Camera,neutral,negative,neutral → negative,1
"Đúng với mô tả: viền hơi dày so với quảng cáo 
Tính năng nổi bật: loa thoại loa ngoài to rõ nói chung là máy ổn trong tầm giá bạn nào săn sale được giá tầm 2 triệu 250k đổ xuống thì được chứ hơn tí nữa thì cân nhắc mua máy khác camera sau chụp 108 chấm mà như camera 12 chấm bình thường nói chung là không đúng với số chấm thực tế nên trừ một sao phần cập nhật hơn một năm rồi mà vẫn cứ android 14, tecno không chịu cập nhật như xiaomi và samsung rõ chán",Camera,neutral,negative,neutral → negative,1
"với tầm giá 2tr thì đây là sản phẩm đáng tiền mua về sử dụng tác vụ bình thường đáng mua nha mọi người , điện thoại màn hình đẹp nhiều tính năng hay anh em mua về giải trí được, máy không thiên về quay chụp. giá 2tr như vậy quá tốt rồi không đòi hỏi gì thêm 5 sao",Camera,neutral,positive,neutral → positive,1
"Chất lượng sản phẩm: máy nguyên seal sài tốt 
Đúng với mô tả: đúng với mô tả thực tế 
Tính năng nổi bật: nfc, camera, vân tay đáng tiền để mua, giao hàng hơi chậm một tí.",Camera,positive,negative,positive → negative,1
"Camera chụp ảnh tạm ổn, chất lượng ở mức chấp nhận được.",Camera,positive,neutral,positive → neutral,1
"Không nhận sim đôi như mô tả, chỉ 1 khe hoạt động. Khác với mô tả hỗ trợ 2 sim. Tính năng e-sim không kích hoạt. Hiệu năng bình thường nhưng pin và ship đều kém",Design,negative,neutral,negative → neutral,1
"Hàng khá tốt, hình thức tầm 98% có 1 vài vết chấm chấm trên viền máy, săn sale được 2t6 cũng khá tốt.",Design,negative,positive,negative → positive,1
"Phiên bản: hàn quốc 1 sim 
Dung lượng lưu trữ: 256gb máy sử dụng tốt, pin ổn nhưng trầy xước mặt sau hơi nhiều.",Design,negative,positive,negative → positive,1
"Sử dụng chữa cháy xem youtube, zalo, Facebook, tốt. Nút home không ăn rất cứng",Design,negative,positive,negative → positive,1
"giao hàng nhanh,đóng hàng cẩn thận.máy cũ thay vỏ,cam trước thì mờ.hàng sử dụng tạm.",Design,negative,positive,negative → positive,1
mua về làm máy phụ vui vẻ tốt máy mình nhận có xước lưng với kính cam nhưng chấp nhận được nch ưng mọi người trải mua về xoá hết app nhà mạng cho mượt tý,Design,negative,positive,negative → positive,1
"sài được thời gian thì, máy sài tốt ổn kể cả game, nhưng mà ngoại hình hơi xâú xước khá nhiều với cấn, nhưng máy hoạt động ổn, nói chung mất này bú kia nên kh quan tâm lắm , với kh ngờ chiếc gaming phone này cam nó nét với đẹp vãi=)) thế thôi",Design,negative,positive,negative → positive,1
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: hơi trầy xước 
Tính năng nổi bật: chơi game rất mượt ngọc ơi anh yêu em rất nhiều tôi yêu nguyễn đỗ thảo ngọc rất nhiều ngọc ơi anh yêu em",Design,negative,positive,negative → positive,1
"Đúng với mô tả: tốt 
Tính năng nổi bật: tốt 
Chất lượng sản phẩm: ngoại hình máy được khoảng 87% cửa hàng đóng gói kĩ càng cẩn thận",Design,neutral,positive,neutral → positive,1
