data,aspect,sentiment,predicted_sentiment,confusion_type,error_count_for_sentence
"1tr rưỡi cho 1 chiếc smartphone cơ bản là quá tốt, quan trọng còn lại là chất lượng theo thời gian thế nào thôi, mọi thứ tương đối tốt, cửa hàng cài nhiều app cho máy và điện thoại kèm luôn cả ốp lưng ... chỉ có cái cốc sạc cho vào ổ điện của mình không khớp nên mình phải gắn vào 1 cốc sạc khác của mình.. sau khi sử dụng thử mấy tiếng thấy pin cũng nhanh giảm.",Battery,negative,positive,negative → positive,1
"Trải nghiệm xong 1 ngày. Máy đẹp, độ mới cao. Game liên quân bao mượt, loa nghe nhặc hay. Pin hơi kém chút. So với giá tiền thì quá chất lượng rồi.",Battery,negative,positive,negative → positive,1
hết pin nhanh quá .chất lượng camera tốt cho những bức ảnh tuyệt đẹp.,Battery,negative,positive,negative → positive,1
"Nhóm màu: màu đen nhám chất lượng: tốt tính năng: tốt đặt màu đen nhưng giao màu bạc... Nhưng màu bạc tuyệt đẹp. Đúng hình thức 99% máy mỹ (sản xuất ở Việt Nam nha). Sử dụng được 2 sim. Còn áp suất chống nước. Đã test 2 ngày, mượt, ổn. Máy snapdragon 888 nên mau nóng cũng mau hạ nhiệt khi ngưng sử dụng. Pin thì bình thường, tụt hơi nhanh chút.",Battery,neutral,negative,neutral → negative,1
"Nhóm màu: nhiều màu 
Dung lượng lưu trữ: 128gb sau 5 ngày nhận hàng, đã test màn hình đẹp máy gắn sim vô là sử dụng, vì máy cũ pin hơi hẻo tí không sao, tặng tai nghe 3.5 sử dụng không được, thay vào đó cửa hàng có thể tặng ốp và dán dẻo cho màn hình luôn thì tốt",Battery,neutral,negative,neutral → negative,2
"Phiên bản: hàn 1 sim 256gb tính năng:đầy đủ vân tay, face chất lượng:99%, chức năng rất tốt, màn hình có vài vết xước nhỏ, mình đang sử dụng xem pin thế nào sẽ đánh giá sau chất liệu:hoàn thiện tốt. Điểm trừ: đặt màu xám bản hàn 1 sim 256gb mà cửa hàng giao bản mỹ 2 sim 128gb màu đen. Không tặng kèm ốp lưng dẻo và dán màn hình. Lex Việt Nam giao hàng chậm hơn gh nhanh 1 ngày. Cập nhật sau 5 ngày sử dụng: check pin còn 88-89% cỡ 4250-4300 ma. Với giá như vậy thì chấp nhận được.",Battery,neutral,negative,neutral → negative,2
"Đang sử dụng máy của cửa hàng giao và có những trải nghiệm như sau , camera chụp hình đẹp , pin sử dụng ổn chơi game hoặc xem youtube khoảng 4 đến 5 tiếng, pin sạc nhanh đầy điểm này rất lợi ích, cảm ứng vuốt rất mượt , màn hình sáng và rõ nét , sóng điện thoại full vào mấy nhà kín sóng vẫn khỏe, ngoại hình máy",Battery,neutral,positive,neutral → positive,1
"máy ổn ở mức giá 2.x. có màn oled full hd. chất lượng hiển thị tốt. máy được cửa hàng việt hóa sẵn tiếng việt được tầm 85-90%. pin 4000 hơi ít nhưng mình mua lm máy phụ nên tốt. màn chỉ là 60hz, 1 loa mono. không biết máy mọi người mua có bị như của mình không lúc xem yt xem ở tốc độ bt thì tốt, bật tốc độ 1.25 trở lên là hình đi trước tiếng xem hơi khó chịu. máy thị trường jp nên phụ kiện kèm hộp chỉ có ốp lưng, chọc sim. cửa hàng có tặng kèm 1 bộ sạc quảng cáo nhưng mình không sử dụng. tóm lại ở mức giá 2.x thì cũng ổn",Battery,positive,negative,positive → negative,3
Sau khoảng 1 tháng sử dụng thì máy không có vấn đề gì đúng như thông tin trong sản phẩm. Tiếc mỗi cái là camera chụp hình không được nét dù đã 108mp rồi mà vẫn như máy cùi. Còn lại không có gì để chê.,Camera,negative,positive,negative → positive,1
"Tính năng nổi bật: tốt 
Chất lượng sản phẩm: tốt
Có chấm dị vật ở cụm camera",Camera,negative,positive,negative → positive,1
"Tính năng nổi bật: tốt 
Chất lượng sản phẩm: tốt 
Đúng với mô tả: tốt
Máy đẹp , pin trâu , mỗi tội cam mờ tịt không phải lỗi không nữa",Camera,negative,positive,negative → positive,1
"ban đầu thấy bảo không có dán cường lực sẵn làm đi mua hết mấy cái. ốp trong của điện thoại khá mềm và mỏng, điện thoại sử dụng tốt, pin trâu, chụp hình hơi ẹ nhưng cày game nhẹ nhẹ thì ổn. mình sử dụng được 10 ngày rồi và không thấy có dấu hiệu giật lag gì, có cài apk này nọ crack máy vẫn tốt.",Camera,negative,positive,negative → positive,1
