sentence,aspect,true_sentiment,predicted_sentiment,confusion_type
"giao hàng nhanh, đóng gói cẩn thận, tuy nhiên vẫn không chịu sử dụng đúng số điện thoại khách hàng khi xuất hoá đơn, mặc dù đã nhắn số điện thoại riêng rồi, nhân viên nói là xuất hoá đơn dựa vào thông tin lucd yêu cầu hoá đơn khi mua trên shopee, nhưng mục đó làm gì có ô nào để điền số điện thoại đâu, nhắn riêng để được xuất đúng số cũng không xuất đúng, hỏi thì nhân viên trả lời không thuyết phục.",Packaging,positive,negative,positive → negative
"Nhóm màu: desert 
Dung lượng lưu trữ: 256gb máy chắc tốt, đóng gói kiểu bìa cát tông",Packaging,neutral,positive,neutral → positive
Cửa hàng đóng gói cẩn thận đúng máy đúng màu cho cửa hàng 5 sao. Bên ship giao hàng quá lâu 4 ngày không hài lòng,Packaging,positive,negative,positive → negative
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: bình thường 
Tính năng nổi bật: không biết đóng gói chống sốc chắc chắn , hàng nguyên seal , ốp củ cáp đầy đủ sạc 45w mà thấy chậm hơn 33w , máy mới hơi chậm hiểu xíu , cập nhật phần mềm , cài các kiểu xong thì sử dụng tốt mua về làm máy phụ , đừng chơi liên quân free fire gì nhé , máy yếu không chơi được đâu , chơi game offline với lướt tiktok đồ thôi",Packaging,positive,negative,positive → negative
"Nhóm màu: xanh ngọc 
Dung lượng lưu trữ: 128gb máy đẹp như mới chắc chắn mượt. Cửa hàng giao sai màu nhưng có phản hồi . Chăm sóc khách hàng nhanh chóng . Sản phẩm pin hơi thấp nếu chơi game thì nhanh tụt pin chế độ chờ tầm 3 ngày .",Packaging,negative,positive,negative → positive
"Chất lượng sản phẩm: tốt
Lưới mạng xã hội tốt. còn game độ phân giải thấp thì tốt độ phân giải cao như liên quân thì không được nhé.",Performance,negative,positive,negative → positive
"Chất lượng sản phẩm: 8 
Đúng với mô tả: 7 
Tính năng nổi bật: máy ngoại hình ổn máy ngoại hình ổn, đẹp. cấu hình máy không đúng chỉ ram6/128 với tiêu đề đăng bán 8/256.",Performance,negative,positive,negative → positive
điện thoại sử dụng mượt. tuy nhiên pin không được bền. sử dụng cùng lúc với máy oppo cùng đời nhưng sụt pin nhanh hơn 10%. máy sử dụng nóng ran phần dưới,Performance,positive,negative,positive → negative
"chụp đẹp, thiết kế đẹp máy chính hãng, còn nguyên seal đã được kích hoạt bảo hành 1 tháng chụp ảnh đẹp, nét. Thiết kế đẹp máy khá nóng trong nhiều tác vụ. Thời lượng pin khoảng 6-7h hỗn hợp wifi+4g nhưng nếu chụp ảnh nhiều ngoài trời nắng thì pin hẹo nhanh",Performance,negative,positive,negative → positive
"Sử dụng làm điện thoại phụ cũng tốt, hơi đơ hơi load chậm xíu nhưng với giá này cũng được rồi.",Performance,negative,positive,negative → positive
"nói chung mới sử dụng nên không biết về sau ổn không trước mắt thì là ổn, nhưng bị cái giao hàng hơi lâu, lần đầu mua điện thoại với số tiền lớn nên cũng hơi lo nên hơi rén mà thêm cái chờ nữa, nói chung là ổn, trừ 2 sao vì giao lâu",General,positive,negative,positive → negative
máy xài cũng tốt mà pin sạc 3 tiếng không đầy được . thân máy bị hở,General,positive,negative,positive → negative
Dung lượng ít,General,negative,neutral,negative → neutral
"Nên cân nhắc kỹ , (hỏng loa trong loa bị rè, được cái cửa hàng nói chuyện đàng hoàng )",General,negative,positive,negative → positive
"Chất lượng sản phẩm: lưu ảnh nhẹ camera ngon đó. Tự tin khẳng định pro thì 5tr quay đầu khó có con nào có camera cân bằng như vầy. Form cầm thì giống iphone 13 thường nhưng mà dài hơn so với 13. Mình cầm thì khá chắc tay còn xperia 5 thì bé quá. Lưu ảnh nhẹ nhưng mà màn còn rất ngon ai có nhu cầu máy phụ thôi hoặc thay vì mua máy nghe nhạc để tiền mua điện thoại thì nên mua bản này liên quân không suport tốt,hiệu năng chơi tốc chiến thì hơi khựng khựng. Thời lượng khoảng 4 tiếng tạm ổn",General,neutral,positive,neutral → positive
"Nguyên seal, mình cần ht ship nhanh cửa hàng cũng ht nhiệt tình, để sử dụng 1tg mới đánh giá được . Nhìn chung khá tốt, cam hơi xấu chút , chủ yếu để lướt mxh nghe gọi",Camera,negative,positive,negative → positive
"Thời lượng pin ngon. Chất lượng camera hơi tối, không nét lắm. Hiệu suất cũng tốt",Camera,negative,positive,negative → positive
"Mua xong hối hận không như mong đợi quá nhiều điểm trừ. Máy hoàn thiện kém, hiệu năng yếu, pin không trâu, camera bình thường. Không có gì đáng mua.",Camera,neutral,negative,neutral → negative
Anh chị cân nhắc khi mua tuỳ nhu cầu của cá nhân sử dụng ngoại quan máy ổn camera có bụi trước & sau. Pin chấp nhận được,Camera,negative,positive,negative → positive
"Chất lượng sản phẩm: máy nguyên seal sài tốt 
Đúng với mô tả: đúng với mô tả thực tế 
Tính năng nổi bật: nfc, camera, vân tay đáng tiền để mua, giao hàng hơi chậm một tí.",Camera,positive,negative,positive → negative
"Nhóm màu: natural 
Dung lượng lưu trữ: 256gb mặc dù có chút vấn đề liên quan giao hàng, trải nghiệm giao hàng thực sự tệhiệu suất máy ảnh ấn tượng, ⚡ 
Hiệu suất:mạnh 📸 
Chất lượng camera: tốt 🔋 
Thời lượng pin: tốt",Battery,positive,negative,positive → negative
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: tốt 
Tính năng nổi bật: pin trâu săn với giá tốt nên khá hài lòng về sản phẩm. Nhưng thời gian giao hàng hơi tệ phải tự ra cửa hàng nhận sản phẩm.",Battery,positive,negative,positive → negative
"Pin không trâu lắm, thiết kế đẹp. 4 sao cho cửa hàng",Battery,negative,positive,negative → positive
"Đúng với mô tả: đúng 
Chất lượng sản phẩm: trung bình
Tính năng nổi bật: giá hợp lý máy sử dụng có độ trễ khi mở app, có sạc siêu nhanh. Giao hàng chậm, hơn 4 ngày mới nhận được hàng.",Battery,positive,negative,positive → negative
"Đúng với mô tả: không đúng như mô tả
Chất lượng sản phẩm: tệ 
Tính năng nổi bật: pin trâu, sạc nhanh. Chỉ có khuyết duy nhất và cũng là khó chịu nhất là cài đặt quá nhiều ứng dụng bên ngoài không cần thiết hay phải nói là ứng dụng quá tào lao và còn tự động chạy không cho phép tắt, trong đó có ứng dụng demi, nó có thể tự tiện thay đổi cài đặt của ứng dụng khác và tự động chạy cho dù có tắt nó đi hoặc không cấp bất cứ quyền gì. Đánh giá chung là trải nghiệm quá tệ. Nếu chỉ sử dụng để chơi game thì không sao, nếu để sử dụng như một chiếc điện thoại bình thường cho công việc hàng ngày thì không nên mua. Sẽ không bao giờ quay lại sử dụng điện thoại của hãng này nữa. Trải nghiệm quá tệ.",Battery,positive,negative,positive → negative
