sentence,aspect,true_sentiment,predicted_sentiment,confusion_type
"Đúng với mô tả: Đúng 
Tính năng nổi bật: Cam zoom x100 điện thoại giống mô tả, giao hàng nhanh, bảo hành được kích hoạt ngay khi mở máy. Hình đính kèm là mình chụp zoom x100, buổi tối chụp xong giữ nguyên 1 chút ai sẽ tự làm rõ nét.",Camera,positive,neutral,positive → neutral
"Lần đầu mua sản phẩm giá trị cao trên shopee. Nhưng lúc nhận hàng thấy hài lòng ạ. Cảm giác bóc seal máy mới rất thích ạ. Mua trên này săn sale nên được giá rẻ hơn mua ngoài store ạ. Nói chung là hài lòng ạ. Màu xanh nhạt nhạt thôi, mình chụp buổi tối dưới ánh đèn nên nó hơi loá.",Camera,negative,neutral,negative → neutral
Chăm sóc khách hàng không gọi lại. Hứa suông. Hỗ trợ kém. Hẹn gọi lại để hỗ trợ nhưng chờ mãi không thấy. Camera chụp ngoài trời còn đỡ,Camera,negative,positive,negative → positive
"Sản phẩm hoàn thiện tốt, màn hình to hiển thị tốt, ram 8gb đáp ứng đủ nhu cầu sử dụng, camera đủ dùng, tầm giá tiền này thì không quá nhiều sự lựa chọn.",Camera,neutral,positive,neutral → positive
Máy dùng quá ngon mượt hyper lỏ:)) camera ở mức ổn. Tiếc máy là không được màu trắng có mỗi màu đen hơi thất vọng,Camera,positive,negative,positive → negative
"Màu sắc: Bạc 
Phân loại: Không hộp (mới 100%) hàng như mô tả của cửa hàng. Ốp lưng tặng kèm lệch pha chức năng khá nhiều nên mua ốp theo máy",General,positive,neutral,positive → neutral
Shopee đã thông báo để Người bán nhanh chóng chuyển hàng cho bạn.,General,positive,neutral,positive → neutral
"Tính năng nổi bật: Điện thoại chơi game 
Chất lượng sản phẩm: Với giá đã mua không có gì để nói săn sale mua được với giá 3 triệu 3, điện thoại giống mô tả, phù hợp với giá tiền. Có nfc. Mỗi cái khi đang trong ứng dụng thì vuốt phím ảo lên hơi khó khăn. Bấm 3 nhát mới thấy hiện phím ảo lên được.",General,negative,positive,negative → positive
Chất lượng sản phẩm: Toot redmi note 14 chính hãng ra mắt vào ngày 10/01/2025 tại việt nam sở hữu ai mới nhất kèm chip mediatek helio g99-ultra mạnh mẽ đi cùng camera 108mp.,General,neutral,positive,neutral → positive
Điện thoại dùng làm việc,General,neutral,positive,neutral → positive
"Sản phẩm tốt chính hãng Việt Nam kích hoạt bảo hành khi mới mua máy imei khớp vs máy màu chuẩn, đóng gói tốt chống sốc cẩn thận giao khá nhanh, tiếc cái là cửa hàng không tặng kèm củ sạc. Mình dùng samsung quen rồi nên h lên đời s25. Điểm trừ mỗi cái cửa hàng lười giao tiếp quá.",Shop_Service,negative,positive,negative → positive
"Áp xu và voucher luôn thì săn được giá 1260k sử dụng được mấy ngày thì bị sọc ngang dọc rồi tắt nguồn luôn khôg mở lên được, chạy lên sg sữa chữa thì chỗ đó xảy ra cháy nổ pin điện thoại sau 1 time xem xét thì trung tâm bảo hành đổi cho cái mới",Shop_Service,positive,negative,positive → negative
Chăm sóc khách hàng hỗ trợ đổi pin miễn phí. Hiệu năng ram đầy gây restart. Đóng gói hộp ướt mốc meo.,Shop_Service,positive,negative,positive → negative
"Sản phẩm: Hàng lỗi hoặc bị hư hỏng bàn vẫn sáng nk màn không sử dụng rdc, được bảo hành không ạ",Shop_Service,neutral,negative,neutral → negative
"Chất lượng sản phẩm: Máy lag kinh khủng, có lúc còn không lên nguồn được, máy không sử dụng được sim, phần góc máy vỡ nhẹ và mình có liên hệ với cửa hàng qua cả zalo lẫn shopee nhưng không hề được phản hồi. Trước khi nhận hàng cửa hàng trả lời cũng nhiệt tình mà ạ. Mình đọc bình luận thấy cửa hàng uy tín nên quyết định tin tưởng vậy mà, mình không có nhiều tiền nên dù máy ít tiền thì mua không sử dụng được vẫn rất phí ạ 🙂 
Đúng với mô tả: 50℅ sản phẩm: Hàng lỗi hoặc bị hư hỏng tệ",Shop_Service,negative,positive,negative → positive
Đúng như mô tả 👍 Mình chỉ khuyên các bạn mua bản 4G (KHÔNG có 5G!) này nếu các bạn muốn một con máy phụ với giá vô cùng rẻ và không phiền màn ám (đã chụp ảnh như trên).,Display,negative,positive,negative → positive
Phân loại sản phẩm: Màn incell hàng chính hãng samsung. Thông số giống mô tả. Màn hình có trầy xíu. Tốt trong tầm giá! cho cửa hàng 5 sao nhé!,Display,neutral,positive,neutral → positive
Hàng 95% nên hơi xước cạnh vs ám màn nhẹ nhưng nhìn chung rất đáng tiền chs game ngon nha mọi người,Display,negative,positive,negative → positive
