data,Battery,Camera,Performance,Display,Design,Software,Packaging,Price,Audio,Warranty,Shop_Service,Shipping,General,Others
"Chất lượng sản phẩm: loa ngoài nhỏ và rè ở vol cao. Đúng với mô tả: âm thanh được quảng cáo hay hơn. Tính năng nổi bật: thiếu bass, méo tiếng. review: nghe nhạc thất vọng, tăng vol là rè, pin tụt nhanh khi bật loa lớn",Negative,,,,,,,,Negative,,,,,
"không có wifi hay bị đơ,chai pin sóng yếu âm thanh rè không còn gì để nói,tóm lại quá tệ",Negative,,,,,,,,Negative,,,,,
đặt samsung j7 pro mà cửa hàng giao cho a750 . pin thì sài mau hết loa bên trong thì đàm thoại vừa nhỏ lại vừa rè không nghe gì. màn thì có lúc tắt mở liên tục . liên hệ với cửa hàng yêu cầu đổi thì cửa hàng bảo máy cũ tân trang lại vậy là xong. đúng là máy cũ nhưng 1 khi bán thì cũng phải sài được chứ có đâu bán đồ không sài được cho người ta. đúng là treo đầu dê bán thịt chó mọi người nhớ né ra dùm đừng mua mất tiền quan như tui,Negative,,,Negative,,,,,Negative,Negative,,,,
"nhóm màu: màu đen mua về cho mẹ mình sử dụng nghe gọi chơi cũng tạm máy cầm siêu nhẹ loa máy mở lớn hơi bị rè pin khá là yếu qua một đêm là hết, mình phải lấy pin chính hãng con nokia cũ gắn qua mới sử dụng được đánh giá 7/10",Negative,,,,,,,,Negative,,,,,
"hàng rẻ so với giá, màn mờ, pin còn tốt mà tụt nhanh lắm, loa bé, mic hơi kém, cảm ứng không nhạy",Negative,,,Negative,,,,Positive,Negative,,,,,
"mua hộ nên quên chụp ảnh nhưng nghe bà nói là sử dụng tương đối ổn, nhanh hết pin và chuông hơi nhỏ",Negative,,,,,,,,Negative,,,,,
"Chất lượng sản phẩm: pin hao nhanh khi phát nhạc/loa. Đúng với mô tả: thời lượng nghe nhạc quảng cáo không đúng. Tính năng nổi bật: loa rè khi âm lượng lớn. review: bật nhạc 1-2h pin tụt mạnh, âm thanh bị rè, ảnh chụp bình thường, đóng gói sơ, ship muộn",Negative,Neutral,,,,,Negative,,Negative,,,Negative,,
"Đúng với mô tả: âm thanh kém. Tính năng nổi bật: kết nối bluetooth kém. review: nghe nhạc bị xì, bluetooth mất kết nối, sạc báo lỗi",Negative,,,,,,,,Negative,,,,,
pin chỉ 4h sử dụng mạng xã hội hiệu năng nóng khi sử dụng chăm sóc khách hàng im re,Negative,,,,,,,,Negative,,Negative,,,
chất lượng loa ngoài rè khó nghe. loa bị rè nhỏ tiếng. camera góc rộng bị biến dạng ở rìa ảnh. pin hao nhanh khi xem youtube. chăm sóc khách hàng không hề hỗ trợ nhiệt tình. đơn hàng bị gửi nhầm sang tỉnh khác,Negative,Negative,,,,,,,,,Negative,Negative,,
âm thanh loa bị méo tiếng khi mở lớn. loa bị rách. camera tele không chụp được. pin hao nhanh khi sử dụng gps. chăm sóc khách hàng không đưa ra giải pháp cụ thể. đơn hàng bị giao sai mẫu,Negative,Negative,,,,,,,Negative,,Negative,Negative,,
"Chất lượng sản phẩm: âm thanh rè, loa nghe nhỏ. Đúng với mô tả: profile âm thanh khác mô tả. Tính năng nổi bật: camera ban đêm nhiễu. review: gọi loa nghe rè, nghe nhạc nhanh ngán, chụp đêm noise nhiều, pin hụt, ship chậm, chăm sóc khách hàng không rõ ràng",Negative,Negative,,,,,,,Negative,,Negative,Negative,,
đã nhận hàng .điện thoại tuyệt vời .đúng đầy đủ như đặt hàng mỗi tội pin đểu nhanh hết.hôm nào rảnh đi thay pin xịn là tốt. loa hơi rè hôn nào rảnh thay loa nữa lại tốt.,Negative,,,,,,,,Negative,,,,,
"Chất lượng sản phẩm: app nền bị kill liên tục. Đúng với mô tả: quản lý ram không như cam kết. Tính năng nổi bật: không giữ app chạy nền. review: nhạc/chẩn đoán bị dừng khi chuyển app, phải mở lại, pin tụt nhanh",Negative,,,,,Negative,,,,,,,,
"micro thu âm nhỏ và nhiễu, gọi video kém. khử ồn phá tiếng, nhiều cuộc họp bị than phiền. pin tụt khi gọi dài",Negative,,,,,,,,Negative,,,,,
"dễ hỏng không như cam kết mic bị rè. sản phẩm này chạy nóng liên tục khiến pin chai rất nhanh, phí tiền",Negative,,,,,,,Negative,Negative,,,,,
"Chất lượng sản phẩm: hiệu năng chơi game tệ, tụt fps liên tục. Đúng với mô tả: pin sử dụng liên tục chưa nổi 4 tiếng. Tính năng nổi bật: camera quay video thu âm rất nhỏ. review: chơi game mà cứ giật lag thì chơi làm gì. pin yếu sinh lý. âm thanh tiếng bé tí. chăm sóc khách hàng thì đổ lỗi cho khách hàng",Negative,Negative,Negative,,,,,,Negative,,Negative,,,
"điện thoại hư nút nguồn, lỗi tự bật âm lượng liên tục, pin tuột nhanh, nói chung là máy dựng.",Negative,,,,,,,,,,,,,
chuông điện thoại quá nhỏ bin nhanh hết,Negative,,,,,,,,Negative,,,,,
"chất lượng loa ngoài rè, nghe rất khó chịu. loa rè. camera góc siêu rộng bị méo hình. pin hao nhanh cả khi để chờ. chăm sóc khách hàng không nhiệt tình hỗ trợ. hàng bị thất lạc phải tự đi tìm",Negative,Negative,,,,,,,Negative,,Negative,Negative,,
"Chất lượng sản phẩm: mic/loa thu âm kém khi gọi. Đúng với mô tả: chất lượng thoại không như mô tả. Tính năng nổi bật: âm thanh thiếu rõ. review: người nghe kêu rè, phải bật loa ngoài. pin cũng tụt nhanh, đóng gói lỏng lẻo",Negative,,,,,,Negative,,Negative,,,,,
"Chất lượng sản phẩm: loa ngoài bị chậm, rè. Đúng với mô tả: âm thanh quảng cáo quá khả năng. Tính năng nổi bật: thiếu bass, méo tiếng. review: nghe nhạc mất cảm xúc, rè ở âm trung, pin tụt nhanh khi mở loa, chăm sóc khách hàng hứa nhiều mà không xử lý",Negative,,,,,,,,Negative,,Negative,,,
"cảm ứng kém không như quảng cáo mic kém, sạc chậm. màn hình cảm ứng phải chạm vài lần mới nhận, mic thu âm rất tệ, sạc 3 tiếng mới đầy pin. cửa hàng thì trả lời tin nhắn rất chậm.",Negative,,,Negative,,,,,Negative,,Negative,,,
"dễ bị hỏng thời gian pin sai giao diện xấu, loa bị rè. quảng cáo pin 48h nhưng thực tế chỉ sử dụng được 6h, loa bị rè khi để âm lượng cao, giao diện thì xấu và khó sử dụng.",Negative,,,,,Negative,,,Negative,,,,,
"Chất lượng sản phẩm: pin tụt nhanh khi stream/đàm thoại. Đúng với mô tả: thời lượng pin bị cường điệu. Tính năng nổi bật: mic thoại bị rè. review: gọi video 1h pin tụt nhanh, tiếng rè, ảnh thường thôi, đóng gói ẩu, ship muộn",Negative,,,,,,Negative,,Negative,,,Negative,,
Chất lượng sản phẩm: loa ngoài bị lẫn tạp âm khi mở max volume. Đúng với mô tả: âm thanh to và rõ ràng. Tính năng nổi bật: nghe nhạc rất khó chịu vì tiếng tạp âm. review: mở loa to là nghe thấy tiếng rè rè bên trong. pin tụt quá nhanh. chăm sóc khách hàng không phản hồi lại,Negative,,,,,,,,Negative,,Negative,,,
Chất lượng sản phẩm: camera quay video có tiếng và hình không khớp nhau. Đúng với mô tả: pin để không cũng tự hết. Tính năng nổi bật: hiệu năng chỉ đủ sử dụng các tác vụ nhẹ. review: quay phim mà tiếng đi trước hình. pin chờ quá tệ. hiệu năng yếu. hộp hàng lúc nhận đã bị rách,Negative,Negative,Negative,,,,Negative,,Negative,,,,,
loa chập chờn bin tụt rất nhanh nên mọi người đừng mua nhé,Negative,,,,,,,,Negative,,,,,
"Chất lượng sản phẩm: loa rè, hiệu năng giảm sau cập nhật. Đúng với mô tả: firmware không ổn. Tính năng nổi bật: autofocus camera sau chậm. review: gọi video rè, cập nhật xong giật, ảnh out nét, pin tụt, đóng gói lỏng, ship trễ, chăm sóc khách hàng trả lời chung chung",Negative,Negative,Negative,,,Negative,Negative,,Negative,,Negative,Negative,,
"rè loa không giống ảnh pin chai rất nhanh, hao pin khi sử dụng,",Negative,,,,,,,,Negative,,,,,
nói chung mua cho người lớn sài cũng ổn. sạc thấy lâu chứ không như thông số nha. loa bật to hết cỡ chứ chỉnh nhỏ thì thấy không hay bị rè.,Negative,,,,,,,,Negative,,,,,
"Chất lượng sản phẩm: loa ngoài bị rè khi mở to. Đúng với mô tả: pin sử dụng không được như cửa hàng nói. Tính năng nổi bật: camera chụp ảnh màu sắc không đẹp. review: loa rè nghe rất khó chịu. pin thì yếu. ảnh chụp màu giả. shipper giao hàng thái độ cục cằn, khó chịu",Negative,Negative,,,,,,,Negative,,,Negative,,
"vỏ dễ tróc sơn giá không đúng loa nhỏ, dễ rè khi bật to, pin chai. giá quảng cáo giảm 50% nhưng thực tế chỉ giảm 10%, vỏ máy mới sử dụng vài ngày đã bị tróc sơn ở các góc, pin hao nhanh hơn quảng cáo gấp đôi.",Negative,,,,Negative,,,Positive,Negative,,,,,
"Chất lượng sản phẩm: loa rè khi gọi, pin tụt nhanh. đúng với mô tả: âm thanh không như quảng cáo. Tính năng nổi bật: cam thiếu tương phản. review: gọi video rè, pin nửa ngày, ảnh thiếu sáng, ship trễ, chăm sóc khách hàng không hỗ trợ",Negative,Negative,,,,,,,Negative,,Negative,Negative,,
cua điện thoại sai lam nhat trong đời lo nghe thì nghe không rõ sạc không vô về pai đi thay chấu sạc,Negative,,,,,,,,Negative,,,,,
"Chất lượng sản phẩm: tai nghe bị lệch âm. đúng với mô tả: âm thanh không cân bằng. Tính năng nổi bật: kết nối bluetooth kém. review: nghe nhạc một bên to một bên nhỏ, bluetooth mất kết nối, sạc không ổn định",Negative,,Negative,,,,,,Negative,,,,,
"Chất lượng sản phẩm: camera quay video bị lỗi âm thanh. đúng với mô tả: pin để không cũng tự hết. Tính năng nổi bật: hiệu năng chỉ đủ sử dụng các tác vụ nhẹ nhàng. review: quay phim mà tiếng bị rè, không nghe rõ. pin chờ quá tệ. hiệu năng yếu. hộp hàng lúc nhận được đã bị móp",Negative,Negative,Negative,,,,Negative,,Negative,,,,,
"Chất lượng sản phẩm: mic thu âm yếu khi quay video. đúng với mô tả: chất lượng quay không như quảng cáo. Tính năng nổi bật: cam quay bị lag khi zoom. review: quay video nghe nhỏ, zoom thì giật, pin tụt nhanh, ship muộn, chăm sóc khách hàng phản hồi chậm",Negative,Negative,,,,,,,Negative,,Negative,Negative,,
"Chất lượng sản phẩm: tai nghe bị rè. đúng với mô tả: âm thanh kém. Tính năng nổi bật: kết nối bluetooth kém. review: nghe nhạc bị rè, bluetooth ngắt quãng, sạc không ổn",Negative,,,,,,,,Negative,,,,,
"thiết bị có tiếng lạ khi khởi động. khác với mô tả hoạt động êm. tính năng khử ồn không hiệu quả. hiệu năng và pin đều tệ, chăm sóc khách hàng kêu gửi về sửa nhưng không hướng dẫn rõ",Negative,,Negative,,,,,,Negative,,Negative,,,
điện thoại samsung galaxy j2 prime ngoại hình đẹp nhưng máy không có nổi một ít dung lượng nào cả dọn rác cho điện thoại mà chả lên được tí kb nào không lắp được thẻ nhớ cho điện thoại sạc cực kì lâu sạc qua đêm không nổi 100% khi sử dụng liên tụp trong vòng 1 tiếng máy sẽ nóng lên thỉnh thoảng còn đơ đơ 1 lúc phải tắt đi bật lại mới sử dụng được không xem được youtube vì gì có đúng lượng để cập nhật  loa khi mở tiếng thỉnh thoảng bị dè,Negative,,Negative,,Positive,,,,Negative,,,,,
"đóng gói hộp cong queo, pin rò khi nghe audio. camera chính sáng quá, hiệu năng giật cục.",Negative,Negative,Negative,,,,Negative,,Neutral,,,,,
Chất lượng sản phẩm: kém chất camera selfie. đúng với mô tả: selfie đẹp khác. Tính năng nổi bật: pin mau hết. review: mịn nét thiếu giả. pin chụp tụt. qua chăm sóc khách hàng loa trả lời,Negative,Negative,,,,,,,Neutral,,Negative,,,
"máy bản tàu, không tải được shopee, pin >4000 mah nhưng sử dụng nhanh hết, cảm giác pin rất cũ rồi. so với giá tiền thì mua cũng được. sử dụng khá mượt nhưng nhiều tác vụ là hết mượt; loa, cam chất lượng ngang giá tiền. không bằng mấy con xiaomi cũ 1,5 củ sử dụng khác hẳn. nhưng cửa hàng này chắc cũng uy tín hơn mấy cửa hàng khác. cảm ơn!, à ghi chú máy trắng nhưng gửi màu tím",Negative,Neutral,Positive,,,,,Neutral,Neutral,,,,,
"đúng với mô tả: đúng Chất lượng sản phẩm: bình thường Tính năng nổi bật: nghe nói máy thì là ổn áp, nghe gọi tốt đúng cơ bản của một chiếc điện thoại, cơ mà pin thì hơi nhỏ thì phải.",Negative,,,,,,,,Positive,,,,,
"pin đã hơi phồng,sử dụng khá tụt pin nhanh,tầm 1-2h là hết.camera sau thì ổn nhưng hơi tối,camera trước hơi sương mù trông hơi giống mốc =))).màn hình giống màn lô nên cảm ứng rít, khá chậm và đôi lúc không nhận cảm ứng.màn cũng ám một vài điểm. chơi game thì được mỗi tôi cảm ứng ngu nên không nên chs trên máy này.nói chung là tạm ổn.lướt web nhắn tin nghe gọi ổn áp hết sử dụng làm máy phụ tốt",Negative,Negative,,Negative,,,,,Positive,,,,,
Chất lượng sản phẩm: tạm ổn Tính năng nổi bật: loa hay đúng với mô tả: đúng đầu tiên thì mình nói về ngoại hình trước bề ngoài máy xước rất nhiều và phầm camera đều bị chầy xước xung quanh các cạnh máy và màn hình củng xước nhưg không đến nỗi điểm yếu của máy là về pin rất hao và tiếng anh lẫn trung rất nhiều không thích hợp làm máy chính nên mọi người cân nhắc nhé máy có hỗ trợ nfc nhưng không nhận thẻ cccd đâu ạ tầm tiền này thì đã có thể mua 1 con máy mới rồi nên ai muốn trải nghiệm thì cứ mua nhé máy mượt và nhạy cam tạm được,Negative,Neutral,Positive,,Negative,,,,Positive,,,,,
Chất lượng sản phẩm: pin được tầm 2 ngày thôi hơi yếu Tính năng nổi bật: loa nghe to rõ,Negative,,,,,,,,Positive,,,,,
"đẹp lắm nha tưởng dầy mà kh dầy lắm. nhỏ nhỏ ❤️ tải vừa vừa thì mượt ghê gọi to rõ, được cái mau hết pin. mua về nghệ gọi chơi thì được",Negative,,,,Positive,,,,Positive,,,,,
máy bị giả cấu hình pin 3000 mà nó nói 40000 chip cũng không mạnh máy nhanh nóng đây là máy dựng nóng quá nó sập nguồn với nó cái app ẩn hay sao mà để không dự liệu cũng chạy rất nhiều . loa tgi tốt màn tốt bộ nhớ  pin cung không phai là lipo .,Negative,,,Positive,,Negative,,,Positive,,,,,
"Chất lượng sản phẩm: tạm Tính năng nổi bật: không mình tưởng đây là sản phẩm do viettel sản xuất nhưng không phải, mà là do đặt hàng từ đối tác tq sản xuất. ưu điểm: máy cầm nắm gọn rất vừa tay, nghe gọi tương đối rõ. (loa trong mà nghe to như loa ngoài) nhược điểm: pin kém. (thỉnh thoảng bật nhìn xem giờ thì được 3 ngày (nghe gọi mình hầu hết sử dụng zalo ở máy smartphone. (đã được hoàng hà hỗ trợ bảo hành bằng cách đưa hãng đổi pin mới nhưng kết quả vẫn vậy). điều nữa vạch báo pin trên màn hình và báo % pin trong hệ thống không khớp nhau và …chả cái nào chính xác cả. thêm nữa ở mức hơn 80% pin thì giữ khá lâu nhưng ở mức trên và dưới khoảng này thì xuống nhanh hơn cả …tụt quần. tóm lại: -Chất lượng sản phẩm: 2* (vấn đề về pin) -dịch vụ hoàng hà: 4* (do hỗ trợ nhiệt tình nhưng không khắc phục được vấn đề)",Negative,,,,,,,,Positive,,Positive,,,
"Chất lượng sản phẩm: máy 93% đúng với mô tả: ngoại hình vẫn đẹp Tính năng nổi bật: loa cực kỳ hay cho anh em thích nghe nhạc nhé máy cạnh viền hơi trầy xíu, lưng có xước lông mèo dài 3-4cm, pin thấy hơi yếu ( có lẽ do máy cửa hàng gửi hơi chai pin, nhưng cửa hàng đã hỗ trợ 1 phần) loa hay khỏi bàn, màn đẹp, không dính tk mi nhé anh em nói chung nên mua để trải nghiệm",Negative,,,Positive,Negative,,,,Positive,,,,,
"đúng với mô tả: đúng Chất lượng sản phẩm: tốt Tính năng nổi bật: nghe gọi ￼điện thoại nokia 6310 (2025) hỗ trợ sóng 4g màn đẹp loa to rõ ràng bảo hành 12 tháng đã mua lần 2 sử dụng tốt sóng khỏe, loa to pin hơi yếu chút, nhưng cũng được giao nhanh, đóng gói cẩn thận",Negative,,Positive,,,,Positive,,Positive,Positive,,Positive,,
"trải nghiệm xong 1 ngày. máy đẹp, độ mới cao. game liên quân bao mượt, loa nghe nhặc hay. pin hơi kém, bù lại sạc rất nhanh. . . so với giá tiền thì quá chất lượng rồi. . .",Negative,,,,Positive,,,Positive,Positive,,,,,
"Chất lượng sản phẩm: hiệu năng yếu, loa thoại nghe bị rè. đúng với mô tả: camera chụp ảnh màu sắc bị sai lệch. Tính năng nổi bật: pin sạc chậm. review: gọi điện mà loa rè không nghe rõ. ảnh chụp màu nhợt nhạt. pin sạc cả buổi mới đầy. đóng gói thì tệ",Negative,Negative,Negative,,,,Negative,,Positive,,,,,
điện thoại đẹp mẫu mã như hình giao hàng nhanh loa to chữ to màn hình to ổn áp có điều pin không trâu,Negative,,,Positive,,,,,Positive,,,Positive,,
"máy sài được 1 tuần. pin yếu. camera sau chụp đem có flas ảnh ngã vàng. hôm nay có chút thời gian dem máy ra xem mới phát hiên, khung và náp sau không khớp. keo thừa vẫn còn o cụm cam. màn hình và khung khong khớp ở góc. kính cam chưa thay, nhưng nắp sau chắc chắn đã thay. khả thay luôn khung.",Negative,Negative,,Negative,Negative,,,,,,,,,
"nhận hàng nhanh chóng, sản phẩm giống hình và sử dụng tốt nên mình rất hài lòng 😀 điện thoại sử dụng tốt, ngoại trừ pin chỉ còn mức 75% thôi",Negative,,,,,,,,,,,Positive,,
"Chất lượng sản phẩm: hiệu năng thường xuyên tụt khung hình, dễ nóng khi sử dụng lâu. Đúng với mô tả: cpu/gpu không bằng cam kết. Tính năng nổi bật: chế độ tiết kiệm pin gần như vô dụng. review: máy lag khi đa nhiệm, fps rớt khi chơi, pin tụt nhanh, đóng gói mỏng, ship trễ, chăm sóc khách hàng trả lời lờ tịt",Negative,,Negative,,,,Negative,,,,Negative,Negative,,
Chất lượng sản phẩm: máy bị nóng khi sử dụng camera liên tục. Đúng với mô tả: tản nhiệt tốt. Tính năng nổi bật: chụp ảnh 5p là máy nóng ran. review: sử dụng camera chụp ảnh rất nóng không dám cầm. pin sử dụng không được nửa ngày. ship không giao đúng hẹn,Negative,Negative,,,,,,,,,,Negative,,
"Chất lượng sản phẩm: sạc không dây lỗi. Đúng với mô tả: tính năng không hoạt động. Tính năng nổi bật: nóng máy khi sạc. review: sạc không dây không nhận, máy nóng, hộp bị móp",Negative,,,,,,Negative,,,,,,,
"Chất lượng sản phẩm: pin tụt nhanh dù ít sử dụng. Đúng với mô tả: thông số pin phóng đại. Tính năng nổi bật: camera trước làm mịn quá đà. review: để chế độ tiết kiệm mà vẫn tụt 30%/2h, selfie như nhựa, máy hơi ấm, đóng gói mỏng, ship muộn, chăm sóc khách hàng trả lời lỡ hẹn",Negative,Negative,,,,,Negative,,,,Negative,,,
"Chất lượng sản phẩm: camera góc rộng bị méo hình nhiều Đúng với mô tả: hiệu năng chỉ đủ lướt facebook Tính năng nổi bật: pin sạc chập chờn, lúc vào lúc không review: camera góc rộng chụp cho vui chứ méo xẹo hiệu năng yếu, không làm gì nặng được pin thì sạc bực mình đợi ship hàng dài cả cổ",Negative,Negative,,,,,,,,,,Negative,,
Chất lượng sản phẩm: yếu pin mau nóng. Đúng với mô tả: đúng không pin bền. Tính năng nổi bật: camera kém chi tiết. review: nóng tụt ít sử dụng ran. thiếu zoom nét. hộp gói đóng móp tệ,Negative,Negative,,,,,Negative,,,,,,,
"Chất lượng sản phẩm: pin báo % không ổn định, tụt đột ngột. Đúng với mô tả: quản lý pin tệ. Tính năng nổi bật: không đáng tin. review: 50% đến 10% trong vài phút rồi tắt, mất n dữ liệu, bảo hành rắc rối",Negative,,,,,,,,,Negative,,,,
"nhóm màu: đen máy ổn định, pin khoẻ. hình thức đẹp. cửa hàng tặng kèm ốp lưng và cáp nối. hàng phù hợp mức giá. mọi người có thể cân nhắc mua làm máy phụ",Negative,,,,Positive,,,Positive,,,,,,
"nhóm màu: pink dung lượng lưu trữ: 128gb khả năng sạc nhanh, bóng bẩy và thanh lịch, hiệu suất mượt mà,",Negative,,Positive,,Positive,,,,,,,,,
"Chất lượng sản phẩm: máy hay giật lag khi mở camera. Đúng với mô tả: thông số camera/cpu phóng đại. Tính năng nổi bật: chụp nhanh không đúng. review: mở camera là drop khung hình, zoom hay mất nét, pin tụt chóng mặt, phụ kiện trong hộp thiếu, ship trễ",Negative,Negative,Negative,,,,Negative,,,,,Negative,,
"Chất lượng sản phẩm: pin yếu, máy đơ. Đúng với mô tả: không đúng quảng cáo hiệu năng. Tính năng nổi bật: camera chụp kém. review: pin hết nhanh, máy lag khi sử dụng. camera chụp ảnh mờ, không nét. đóng gói sơ sài, ship muộn. chăm sóc khách hàng hỗ trợ kém",Negative,Negative,Negative,,,,Negative,,,,Negative,Negative,,
Chất lượng sản phẩm: không có tính năng sạc không dây như quảng cáo. Đúng với mô tả: sạc không dây tiện lợi. Tính năng nổi bật: phải cắm dây sạc rất bất tiện. review: không có sạc không dây làm tôi thất vọng. pin kém phải sạc nhiều lần. đóng hàng sơ sài thiếu tem bảo hành,Negative,,,,,,Negative,,,Negative,,,,
"Chất lượng sản phẩm: pin yếu nhanh chai. Đúng với mô tả: quảng cáo pin 2 ngày nhưng sử dụng nửa ngày đã báo đỏ. Tính năng nổi bật: sạc nhanh không như giới thiệu. review: chơi game 30p tụt 20%, sạc lâu nóng, ship chậm, hộp móp",Negative,,,,,,,,,,,Negative,,
"chuẩn bị hàng lâu. hộp bị móp méo, không phải do bên vận chuyển vì đã bọc túi kĩ :)) hộp móp méo từ trước. pin kém quá không biết có bị sao không",Negative,,,,,,Negative,,,,,Positive,,
"pin tụt game bắn súng, máy nóng hổi lòng bàn. camera màu xám xịt, hỗ trợ khách hàng lặp từ ngữ.",Negative,Negative,,,,,,,,,Negative,,,
Chất lượng sản phẩm: màu camera lệch mờ nhạt. Đúng với mô tả: ảnh mẫu xa khác hẳn. Tính năng nổi bật: hết pin kém nhanh. review: thật không màu sáng thiếu nét. pin hết quay video clip. gói lỏng đóng lẻo không chắc,Negative,Negative,,,,,Negative,,,,,,,
"bèo nhèo không như camera noise và màu lệch lạc như nghệ sĩ vẽ tranh say rượu, đóng gói lỏng dẫn đến màn hình xước như bị mèo cào yêu thương, pin tụt vèo khi gọi video kiểu 'alo, pin bye'",Negative,Negative,,,,,Negative,,,,,,,
"mặt lưng dễ bám vân tay pin thực tế chỉ 3000mah không phải 5000mah camera selfie xấu, làm mịn da quá đà",Negative,Negative,,,Negative,,,,,,,,,
"Chất lượng sản phẩm: máy bị lỗi màn hình. Đúng với mô tả: không đúng mô tả. Tính năng nổi bật: camera không như mong đợi. review: màn hình xuất hiện điểm chết, pin yếu, thời gian giao hàng kéo dài",Negative,Negative,,Negative,,,,,,,,Negative,,
"vỏ nứt không đúng ảnh camera mờ, pin tụt nhanh sản phẩm tệ quá mà phải đợi tới 2 tuần mới nhận được hàng. gọi bên hỗ trợ thì cứ bảo chờ mà chờ mãi không thấy phản hồi gì hết",Negative,Negative,,,,,,,,,Negative,,,
máy không lên nguồn. sạc cũng không vào. cắm sạc vào chỉ thấy rùng rùng hiển thị sạc xong mất không vào pin được.,Negative,,,,,,,,,,,,,
"chăm sóc khách hàng cực kỳ tệ, gọi hỗ trợ 3 lần đều bị ngắt máy. pin tụt nhanh khi bật màn hình, phải sạc 2 lần/ngày. camera chụp thiếu sáng bị ám màu vàng.",Negative,Negative,,,,,,,,,Negative,,,
"Chất lượng sản phẩm: camera chụp đêm nhiễu nặng, pin sử dụng không đủ ngày. Đúng với mô tả: khác xa quảng cáo. Tính năng nổi bật: không. review: camera chụp đêm cho có chứ ảnh nhiễu hạt không sử dụng được. pin sử dụng các tác vụ bình thường mà chiều đã phải sạc",Negative,Negative,,,,,,,,,,,,
hiệu năng giật khi cập nhật os pin hao pin gps chăm sóc khách hàng copy câu trả lời,Negative,,Negative,,,,,,,,Negative,,,
"cảm ứng kém không giống hình pin tụt nhanh chóng. mới sạc đầy ra đường là còn 50% pin, quá tệ hại.,",Negative,,,Negative,,,,,,,,,,
"camera chụp mất chi tiết trong điều kiện thiếu sáng. khác với mô tả ảnh nét. tính năng AI chỉnh ảnh quá tay gây giả. pin và hiệu năng còn tệ hơn mong đợi, chăm sóc khách hàng không hướng dẫn rõ",Negative,Negative,Negative,,,,,,,,Negative,,,
ngoại hình ổn áp nhưng pin thì hư. lấy hàng thì trả tiền liền mà trả hàng có nhận được tiền lại không hay mất cả 2 thì chưa biết nhưng chắc chắn 1 điều trả hàng lại và nhận được tiền là rất lâu vì vậy tôi phải tự đi thay pin mới,Negative,,,,,,,,,,,,,
"chăm sóc khách hàng tệ hại, nhắn tin không trả lời, gọi lên tổng đài thì chờ lâu. pin mau hết, sử dụng liên tục được 3h là hết sạch. camera chụp bị ám màu tím.",Negative,Negative,,,,,,,,,Negative,,,
pin tụt nhanh dù chỉ lướt mạng xã hội. máy nhận về có bụi li ti trong camera. máy quá nóng khi cắm sạc. đóng gói sơ sài hộp bị bóp méo. giao hàng không gọi báo trước khi đến,Negative,Negative,,,,,Negative,,,,,Negative,,
Chất lượng sản phẩm: hiệu năng không ổn lag. Đúng với mô tả: khác quảng cáo mượt. Tính năng nổi bật: pin sạc lâu. review: máy hay giật pin sạc chậm. đóng gói lỏng lẻo chăm sóc khách hàng không hỗ trợ hiệu quả,Negative,,Negative,,,,Negative,,,,Negative,,,
Chất lượng sản phẩm: pin tụt nhanh khi bật định vị gps. Đúng với mô tả: tối ưu pin cho gps. Tính năng nổi bật: bật gps 30p hết 30% pin. review: pin tụt kinh khủng khi bật gps. hiệu năng giảm khi sử dụng map. ship giao hàng chậm 5 ngày,Negative,,Negative,,,,,,,,,Negative,,
Chất lượng sản phẩm: camera sau bị lỗi chống rung khi quay 4k. Đúng với mô tả: chống rung tốt mọi độ phân giải. Tính năng nổi bật: quay 4k bị rung lắc mạnh. review: quay 4k bị rung không xem được. pin tụt thảm hại. chăm sóc khách hàng bảo do độ phân giải,Negative,Negative,,,,,,,,,Negative,,,
Chất lượng sản phẩm: camera sau bị lỗi đo sáng sai khi quay video. Đúng với mô tả: đo sáng chính xác. Tính năng nổi bật: quay video bị tối/sáng bất thường. review: quay video bị tối sáng liên tục. pin tụt thảm hại. chăm sóc khách hàng bảo do ánh sáng,Negative,Negative,,,,,,,,,Neutral,,,
"nhanh hỏng lừa đảo trắng trợn camera mờ như cám, gps luôn sai vị trí pin tụt nhanh kinh khủng, sạc 10 phút sử dụng hết 2 phút. tốn tiền vô ích",Negative,Negative,Negative,,,,,Negative,,,,,,
máy bị hỏng pin nóng điện thoại dính mật khẩu,Negative,,Negative,,,,,,,,,,,
điện thoại vừa sử dụng đã hết pin. sạc lâu đầy. đầy xong có người gọi thì vừa a lô cái nó sập nguồn. đen xì. thử sả pin 2 ngày xạc qua đêm mấy đêm vẫn vậy. sử dụng cái là nó ngủm,Negative,,,,,,,,,,,,,
