data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
"Màu_sắc : đen Phân_loại : không hộp ( mới 100% ) uy_tín , chất_lượng tạo nên thương_hiệu ❤️",,,,,,,,,,Positive,
camera zoom kỹ_thuật_số vỡ hình . pin tụt đột_ngột khi ngủ . ship giao sai màu phải trả lại .,Negative,Negative,,,,,,,Negative,,
"Điện_thoại dùng ngon , săn sale nhưng giá chưa ổn lắm , tuy_nhiên giao nhanh hơn dự_kiến . Ảnh và video mang tính nhận xu",,,,,,,Negative,,Positive,Positive,
Bên chăm_sóc khách_hàng hứa sửa nhưng không thực_hiện . Hiệu_năng nóng pin nóng theo . Đóng_gói giấy_báo dễ ướt .,Negative,,,,,Negative,,Negative,,,
Phiên_bản : mỹ 2 sim 128gb 98% đep ... rẻ,,,,,Positive,,Positive,,,,
"Rác_rưởi khác_biệt pin hao 30% mỗi giờ lướt Facebook , hỗ_trợ chậm_chạp chờ mãi không ai nhấc máy , shipping hỏng nhẹ khi giao",Negative,,,,,,,Negative,Negative,,
Hiệu_năng xử_lý các tác_vụ cơ_bản là đủ dùng cho nhu_cầu thông_thường .,,,Neutral,,,,,,,,
"Máy chạy nhanh , đẹp , ship nhanh , .... ưng_ý nhaaaaaaa",,,Positive,,Positive,,,,Positive,,
Chất_lượng sản_phẩm này rất_chi_là ổn không biết lâu_dài như nào,,,,,,,,,,Positive,
"giao hàng nhanh , hàng đúng với mô_tả",,,,,,,,,Positive,Positive,
"Nhóm màu : đen đã nhận hàng , hàng chính hãng mua nhiều lần , ship nhiệt_tình , giao hàng nhanh .",,,,,,,,,Positive,,
"Phiên_bản : mỹ 2 sim 99% 128gb gần giống với mô_tả , chỉ được 92% thôi , chất_lượng chờ thời_gian sử_dụng mới biết được , tạm_thời 4 sao .",,,,,,,,,,Neutral,
"Đóng_gói cẩn_thận , giao hàng nhanh , shipe nhiệt_tình . Săn được sale giá hời",,,,,,Positive,Positive,,Positive,,
Chất_lượng sản_phẩm : tốt Tính_năng nổi_bật : tốt Đúng với mô_tả : đúng mô_tả lần thứ 2 mua điện_thoại cửa_hàng rất uy_tín 殺,,,,,,,,,,Positive,
Máy dựng khung không phải máy zin,,,,,Negative,,,,,,
"Nhóm màu : natural Dung_lượng lưu_trữ : 256gb giao hàng nhanh_chóng và hiệu_quả , giao hàng nhanh_chóng và hiệu_quả , giao hàng nhanh_chóng và hiệu_quả ,",,,,,,,,,Positive,,
"Hàng giao được đóng_gói cẩn_thận , đầy_đủ phụ_kiện như trong mô_tả , cửa_hàng thân_thiện nhiệt_tình hỗ_trợ khách_hàng . Sẽ tiếp_tục ủng_hộ .",,,,,,Positive,,Positive,,,
"Color family : random color sản_phẩm : màu đen cáp sạc khá hài_lòng , hàng đẹp lắm ạ , máy mượt . đặt trên này rẻ hơn ngoài cửa_hàng nhưng chất_lượng ổn . ban_đầu cũng nghi là không sử_dụng được nhưng thật_sự là máy sử_dụng rất tốt luôn mọi người ạ",,,Positive,,,,Positive,,,Positive,
"Máy mượt , săn sale được giá hời nên quá ngon",,,Positive,,,,Positive,,,,
