data,aspect,sentiment,predicted_sentiment,confusion_type,error_count_for_sentence
"Camera chụp thiếu sáng rất tệ. Ảnh tối, bệt màu. Chất lượng ảnh tối kém, noise nhiều. Ảnh chụp tối không thể dùng được, quá noise. Hiệu năng thỉnh thoảng giật nhẹ. Pin dùng ổn nhưng sạc hơi lâu",Battery,negative,positive,negative → positive,1
"Phân loại sản phẩm: Điện thoại a31 sản phẩm chất lượng rất ổn, mẫu mã đẹp dễ cầm nắm bộ nhớ lớn thoải sức lưu trữ hình ảnh, pin trâu ram máy lớn trải nghiệm game không lo giật lag, giá cả phải chăng hợp túi tiền người lao động. Cửa hàng tư vấn rất tốt có nhiều sản phẩm giá bình dân. Đánh giá 5 sao",Battery,negative,positive,negative → positive,1
"Pin trâu, thích hợp chơi game, còn lại mà hình xem video kém, cam xấu, săn sale dưới 3 điểm nên không đòi hỏi nhiều được",Battery,negative,positive,negative → positive,1
"1. Mình thấy nhiều người rw hệ điều hành này không được tối ưu hoá cho mấy 2. Không biết do máy hay gì nhưng chơi tốc chiến bật được 120fps nhưng mà toàn bị drop xuống 60-75( mặc dù máy rất mát) và 8/256 cũng thi thoảng bị văng game tốc chiến 3. 5g của máy cảm giác cũng không được mượt mà nên mình chỉ sử dụng 4g 4. Máy thì viền nhựa cầm không được sướng tay và dễ bị xước, mặt lưng của máy thì không biết nói sao nhưng cũng tàm tạm 5. Pin của máy là 6000 nhưng cảm giác không được trâu cho lắm 6. Còn mấy thứ còn lại thì tạm ổn( trừ cam nha =))) đây là những gì sau 1 tháng rưỡi mình trải nghiệm con poco x7 pro này",Battery,neutral,negative,neutral → negative,1
"Chất lượng sản phẩm: Tốt 
Tính năng nổi bật: Vân tay dưới màn, cam tốt, loa xịn nhận xét chung là hài lòng. Ngoại hình 8đ, chức năng 10đ. Mình mua để đổi gió nên cũng không yêu cầu cao gì, nhưng mà nhìn qua ngoại hình thì biết là máy đã được tân trang lại rồi, cổng sạc khá tả, con điện thoại mình sử dụng 4 năm rồi mà cổng sạc cũng không tả tơi được như con này, cụm cam thì không xước xát gì nhưng viền quanh cam có vài vết sứt mẻ, nói chung là chủ cũ sử dụng hao vcd. Máy nhận về chạy miui 12.5 không được full tiếng việt, mình có up rom lên miui 14 eu thì thấy đỡ hao pin hơn hẳn. À mà củ sạc cửa hàng gửi kèm sử dụng dây typec-typec mà dây sạc cửa hàng gửi lại là typea-typec nên sử dụng không được =)))",Battery,neutral,negative,neutral → negative,2
Chất lượng sản phẩm: Hiệu năng ở mức tạm được cho các tác vụ hàng ngày. Pin dùng cũng cũng được trong một ngày làm việc nhẹ.,Battery,neutral,positive,neutral → positive,2
"Đang sử dụng máy của cửa hàng giao và có những trải nghiệm như sau, camera chụp hình đẹp, pin sử dụng ổn chơi game hoặc xem youtube khoảng 4 đến 5 tiếng, pin sạc nhanh đầy điểm này rất lợi ích, cảm ứng vuốt rất mượt, màn hình sáng và rõ nét, sóng điện thoại full vào mấy nhà kín sóng vẫn khỏe, ngoại hình máy",Battery,neutral,positive,neutral → positive,1
"Chất lượng sản phẩm: Tốt 
Đúng với mô tả: Máy đẹp máy ổn,pin thì chắc khoảng 80%, máy nhà mạng docomo, thuần nhật 100%, tuy nhiên cửa hàng tặng kèm cục sạc vô lý quá, đầu sạc và dây sạc chẳng liên quan gì nhau luôn, được cái giao hàng rất nhanh,có video quay lại nhưng hơn 2 phút không cho tải lên, cảm ơn cửa hàng",Battery,positive,negative,positive → negative,2
"Chất lượng sản phẩm: Tốt 
Đúng với mô tả: Đúng 
Tính năng nổi bật: Máy đẹp, sử dụng tốt. Màn cảm ứng nhạy, pin sử dụng tác vụ bình thường tốt. Máy xử lý các thao tác nhanh. Với giá này mua máy sử dụng rất tốt. Cảm ơn cửa hàng nhiều. 5 sao",Battery,positive,neutral,positive → neutral,1
Camera macro không lấy nét được. Ảnh cận cảnh bị rung mờ. Tính năng không nổi bật. Camera phụ chỉ để cho có. Pin và hiệu năng bình thường,Camera,negative,neutral,negative → neutral,1
Anh chị cân nhắc khi mua tuỳ nhu cầu của cá nhân sử dụng ngoại quan máy ổn camera có bụi trước & sau. Pin chấp nhận được,Camera,negative,positive,negative → positive,1
"Màu sắc: Xanh 
Phiên bản: Bản locksim-hư sim pin trâu vcl sài 14 tiếng liên tục mà máy còn 31% chơi game thì tạm ổn với tầm giá cam thì chống mù thôi ngoại hình đẹp ít trầy xước",Camera,negative,positive,negative → positive,1
Máy ít sước nhưng các cạnh có dấu hiệu bí tháo ra còn về bên trong thì máy chiến game ok pubg mobile max setting. Pubg 2 max setting geshin max setting nhưng bất lợi là nóng máy khi vừa vô game 1 p cần quạt tản nhiệt tốt hơn với hao pin nhanh lq mobile max seting. Còn về camera không để ý vì mua về game,Camera,neutral,negative,neutral → negative,1
Sản phẩm tốt. Cửa hàng hết màu xanh nên mình lấy màu đen. Cam trc hơi lỏ. Camera sau nét căng. Máy mượt...... Trc mua cho e trai 1 lần rồi. Giờ mua thêm 1 cái lm máy phụ. Cửa hàng đi đơn nhanh,Camera,neutral,negative,neutral → negative,1
"Thật sự không thể tin được với giá cực rẻ khi săn seal mà lại được một chiếc điện thoại tốt như vậy. Giao hàng cực nhanh chỉ mất có 1 ngày, và đây là cảm nhận của mình sau 1 thời gian sử dụng, hiệu năng tốt, màn hơi tối phải chỉnh độ sáng lên khá cao, đa nhiệm chưa tối ưu tốt lắm, pin tuy không trâu như thông số nhưng đủ cho 1 ngày rất thoải mái, camera đủ dùng cơ bản, phần mềm thì cần nên cải thiện hơn. Nói chung là quá ngon trong tầm giá rồi, mọi người thích xiaomi thì có thể cân nhắc chiếc điện thoại này nhé.",Camera,neutral,negative,neutral → negative,1
"Mua được với giá 9tr3. Lướt mượt, ngày đầu về chơi game nóng nhưng sau thì đỡ. Sạc nhanh, lúc sạc hơi nóng. Cửa hàng tư vấn nhiệt tình. Lần đầu tiên mua điện thoại trên shoppee nên hơi hoang mang nhưng thấy cũng ổn. Video chống rung nhẹ. Chụp không căng bằng ip nhưng cũng ok. Chơi game lâu hết pin. Mỏng, cầm nhẹ vừa tay. Màn cong nên mua thêm ppf dán. Chính hãng giá này ổn cho anh em chơi game nhẹ và chụp hình tạm tạm nha.",Camera,neutral,positive,neutral → positive,2
"Màu sắc: Xanh ngọc dung lượng: 4gb/64gb tuyệt vời cho sử dụng hàng ngày, camera chính 50mp,",Camera,neutral,positive,neutral → positive,1
"Màu sắc: Xanh matcha 🔋 
Thời lượng pin: Dài 📸 
Chất lượng camera: Nét ⚡ 
Hiệu suất: Cao các bạn lưu ý khi treo cờ ạ: - thứ nhất: Là treo từ khấc thứ 4 từ dưới lên - thứ 2: Hình ngôi sao phải ở vị trí giữa - thứ 3: Mặt đỏ hơn là mặt trái, nên các bạn sẽ treo mặt bóng (mặt phải) ra bên ngoài nhé. @all từ cuộc chia tay giữa hlv hoàng anh tuấn và clb bình dương, nhiều người phải tiếc cho hlv lê huỳnh đức. Vì cựu vương v. League được đầu tư lớn nhưng thành tích không tốt.",Camera,positive,negative,positive → negative,1
"Máy chính hãng được tặng kèm đồng hồ để tập thể dục về điện thoại thì tạm OK mượt camera chụp đẹp có Al nhưng chất lượng màn amoled có vẻ màu đậm không được đẹp như màn ss oppo, săn sale nên giá vậy chấp nhận được",Camera,positive,negative,positive → negative,1
"Tính năng nổi bật: Cấu hình mạnh, máy mượt, cam đẹp trong tầm giá. 
Đúng với mô tả: Không đúng ram rom chỉ 6/128 thôi 
Chất lượng sản phẩm: Ổn nhận xét sau 2 tuần sửa dụng máy,máy đã thay vỏ nhưng mình vẫn chấp nhận được vì máy đã ra mắt khá lâu rồi h mà đào ra máy nguyên zin trong tầm giá rẻ như này thì không thể, đáng lẻ mình sẽ đánh giá 5 sao nhưng hàng dựng lại rất sơ sài nắp lưng không thấy 1 tý keo nào bị bung ra hết khá là buồn😞 mong cửa hàng nên kiểm tra cẩn thận và kĩ càng hơn khi giao hàng tới tay người sử dụng",Camera,positive,negative,positive → negative,2
"Đúng với mô tả: Có 
Tính năng nổi bật: Nhiều 
Chất lượng sản phẩm: Oke cửa hàng giao nhanh nhiệt tình hàng mới nguyên seal, ảnh chụp không nét lắm cũng tạm. H. Anh mang tc minh họa. Sẽ săn thêm chiếc nữa",Camera,positive,negative,positive → negative,1
"Tính năng nổi bật: Cấu hình mạnh, máy mượt, cam đẹp trong tầm giá. 
Đúng với mô tả: Không đúng ram rom chỉ 6/128 thôi 
Chất lượng sản phẩm: Ổn nhận xét sau 2 tuần sửa dụng máy,máy đã thay vỏ nhưng mình vẫn chấp nhận được vì máy đã ra mắt khá lâu rồi h mà đào ra máy nguyên zin trong tầm giá rẻ như này thì không thể, đáng lẻ mình sẽ đánh giá 5 sao nhưng hàng dựng lại rất sơ sài nắp lưng không thấy 1 tý keo nào bị bung ra hết khá là buồn😞 mong cửa hàng nên kiểm tra cẩn thận và kĩ càng hơn khi giao hàng tới tay người sử dụng",Design,negative,positive,negative → positive,2
Đã nhận hàng đầy đủ. Đóng gói cẩn thận. Máy hơi xước viền nhưng nhìn chung khá tốt và hài lòng. Chưa biết độ bền ntn. Hình ảnh mang tính chất nhận xu!,Design,negative,positive,negative → positive,1
"Đó h xài ip, nhỏ em gái mua khen dv bảo hành bên Oppo xịn nên đua theoooo. Màu vàng đồng chuẩn thì sẽ đẹp hơn, nhìn bên ngoài giống màu kem quá được tặng cái quạt nữa nè",Design,negative,positive,negative → positive,1
