sentence,aspect,true_sentiment,predicted_sentiment,confusion_type
"Pin sụt nhanh chóng mặt. Pin không được như hãng nói. Thời lượng pin kém. Pin chỉ trụ được nửa ngày, phải sạc 2 lần/ngày rất bất tiện. Đóng hàng cẩn thận nhưng hộp hơi móp. Camera chụp thiếu sáng tệ",Packaging,negative,positive,negative → positive
"Nhóm màu: Màu đen bóng khả năng lưu trữ: 128gb đặt màu đen giao màu xám, rất mới. Pin xạc 100%lúc 20h đến 5h sáng còn 92% dù không sử dụng gì. Tụt pin hơi nhanh. Rất hài lòng. Sạc theo hộp sạc rất nhanh. Hy vọng máy bền. Tặng cửa hàng 5 sao.!",Packaging,negative,positive,negative → positive
"Nhóm màu: Xanh ngọc 
Dung lượng lưu trữ: 128gb máy đẹp như mới chắc chắn mượt. Cửa hàng giao sai màu nhưng có phản hồi. Chăm sóc khách hàng nhanh chóng. Sản phẩm pin hơi thấp nếu chơi game thì nhanh tụt pin chế độ chờ tầm 3 ngày.",Packaging,negative,positive,negative → positive
Giao hàng tạm ổn sản phẩm giống mô tả đóng gói bình thường...!!!!!🙂,Packaging,neutral,positive,neutral → positive
"Ảnh do máy chụp, Sau hơn 2 tuần sử dụng thấy không lỗi lầm gì nha, cửa hàng trước khi gửi hàng sẽ báo tình trạng và có video của máy sẽ giao đến cho mình!",Shop_Service,positive,neutral,positive → neutral
"Phiên bản: Bản 2 sim 
Dung lượng lưu trữ: 256gb mình đặt máy 256gb. Cửa hàng gửi máy chỉ có 128gb. Yêu cầu cửa hàng đổi máy gấp. Sau khi làm việc với cửa hàng mình tốt rồi nhé",Shop_Service,positive,negative,positive → negative
"Chất lượng sản phẩm: Tốt 
Đúng với mô tả: Máy đẹp máy ổn,pin thì chắc khoảng 80%, máy nhà mạng docomo, thuần nhật 100%, tuy nhiên cửa hàng tặng kèm cục sạc vô lý quá, đầu sạc và dây sạc chẳng liên quan gì nhau luôn, được cái giao hàng rất nhanh,có video quay lại nhưng hơn 2 phút không cho tải lên, cảm ơn cửa hàng",Shop_Service,negative,positive,negative → positive
"Đúng với mô tả: Hmmmm 
Chất lượng sản phẩm: Tốt
Lúc order thì hết màu tím, nên đành phải chọn màu đen. Ngủ dậy sáng hôm sau thì đã có hàng mới màu tím, nhắn tin hỏi cửa hàng có đổi không thì được báo là sẽ note cho bên kho để họ đổi lại đơn. Mà khi nhận vẫn là màu đen, cũng không có confirm trước đó là đổi thành công hay như nào. Tai nghe được tặng thì cũng không có gì đánh giá, có cũng được mà không có cũng chả sao, vì không kì vọng gì nhiều hàng tặng kèm. Còn lại điện thoại cũng tốt, mượt và giá rẻ. Phải tốn 1 chút thao tác để loại bỏ quảng cáo trên điện thoại tàu.",Shop_Service,neutral,positive,neutral → positive
"Sản phẩm: Sản phẩm không như mô tả làm ăn vớ vẩn. Hàng giao không đúng mô tả. Có video mở hàng đầy đủ. Có liên hệ cửa hàng ngay sau khi mở gói hàng. Cửa hàng đồng ý cho trả hàng. Có quay video đóng gói hàng. Chờ lâu không thấy shiper lấy hàng. Đến khi có đơn hàng mới, yêu cầu shiper mang hàng về thì không mang",Shop_Service,positive,negative,positive → negative
"Chưa bao giờ nghĩ là sẽ mua 1 thứ giá trị như vậy trên shopee. Nhưng ho vọng là điện thoại không có vấn đề gì, trộm vía đơn hàng không có vấn đề, nhưng màu đen không đẹp lắm 😅 cửa hàng giao nhanh thần tốc nha hix, mua bị đắt hơn ngày sale gần 1 củ, biết thế đợi sale rồi mua",Price,negative,positive,negative → positive
