sentence,aspect,sentiment
"pin báo 100% nhưng tắt nguồn bất ngờ. khác với mô tả về độ bền pin. tính năng tiết kiệm pin hoạt động không đáng tin. ship mất nhiều ngày, tracking mơ hồ, chăm sóc khách hàng im lặng",Shop_Service,negative
"tệ sai lệch yếu đóng gói lỏng lẻo. chăm sóc khách hàng tránh trách nhiệm.,",Shop_Service,negative
"Lần đầu tiên mua điện thoại trên mạng với đơn hàng đắt nhất trên shopee mà mình từng mua, (mình hạng vàng, bình thường toàn mua quần áo và đồ linh tinh ) , săn live của võ hoàng yến còn 3tr330. Cảm nhận sau khi mở :máy đẹp, lướt nhanh... Còn camera thì theo mình không đẹp bằng oppo mình đang sử dụng. Cửa hàng giao hàng nhanh nhưng bên vận chuyển thì hơi lâu. Sử dụng thêm 1 tuần nữa mình sẽ đánh giá lại.",Shipping,negative
"Khung viền cấn khá nhiều vết, vừa mua về ngày đầu mượt ngon, qua hôm sau cái không hiểu bị gì lag đơ cả máy mặc dù không nóng gì, khởi động lại mấy lần hết một lúc bị tiếp, sử dụng mã để check máy thì báo không được",Design,negative
Máy mới khui seal mà trầy,Design,negative
"Nhóm màu: xanh than ổn định và bền bỉ theo thời gian, âm thanh lớn",Audio,positive
"Pin trâu thôi rồi luôn, chơi game nhẹ nhàng tốt nhé. Mình mua cho bố sử dụng nên thoải mái. Ngon trong tầm giá",Price,positive
"Đóng gói không có tem niêm phong. Hàng đã bị khui. Không nguyên vẹn. Hộp hàng không có tem niêm phong, cảm giác như hàng trưng bày. Chăm sóc khách hàng bảo do kiểm tra. Camera không được nét",Shop_Service,negative
"hệ điều hành chạy rất chán, giao diện thì xấu còn không được mượt rất lag khi vuốt các ứng dụng.",Software,negative
"Tính năng nổi bật: tốt 
Đúng với mô tả: bộ nhớ màu sắc đúng, vỏ cũ 89% 
Chất lượng sản phẩm: 95% máy tạm ổn, săn được mã -200k thì về mất 300k cài rom.",General,positive
Có ai biết cách bật tính năng chụp ảnh ban đêm trên camera của máy này không?,Camera,neutral
"Đúng với mô tả: không 
Chất lượng sản phẩm: kém , màn lô",Display,negative
"Chất lượng sản phẩm: máy gần như 99% hơi chầy viền cam không vấn đề 
Tính năng nổi bật: loa ấm hay 
Đúng với mô tả: pin ổn đủ sử dụng 4g trong ngày có góp ý cho cửa hàng nên cài bản miui 12.0.x thay vì 12.5.x vì bản này dễ lỗi vặt",Audio,positive
"Mầu: xanh navy bộ nhớ: 256gb-12gb màu xanh navy sang trọng, vào game nhanh hơn iphone 11 cửa hàng hỗ trợ giao hàng rầt nhanh sắp tới m sẽ mua thêm cái nữa cho m.",Design,positive
"Ngoại hình ổn, full chức năng, có nfc cửa hàng gửi nhầm cáp sạc usb to type c, củ sạc type c to type c nên không để sạc được nhưng liên hệ cửa hàng hỗ trợ nhiệt tình",Design,neutral
"Tính năng nổi bật: vượt trội 
Chất lượng sản phẩm: tốt 
Đúng với mô tả: đúng sao 4 ngày trải nghiệm thì đánh giá chung pin không trâu cho lắm, chơi game có hiện tượng tụt fps (2 ngày cực mượt mà). Không có 4,5 sao nên nhận tạm 4 sao nhé",Performance,negative
"sản phẩm tốt, săn sale giá rất ổn so với mua tại cửa hàng. nhưng lên đơn chờ giao khá chậm",Shipping,negative
"Màu sắc: bạc 
Phân loại: nguyên seal không sạc thích màu bạc của điện thoại., màn hình tuyệt vời với tần số làm mới 90hz., giá trị tuyệt vời cho số tiền bỏ ra., màn hình tuyệt vời với tần số làm mới 90hz.,",Display,positive
Tôi đang tìm hiểu xem phần mềm này có nhận được bản cập nhật lớn tiếp theo hay không.,Software,neutral
"Sứt mẻ dối trá camera trước mờ. Sản phẩm nhận được bị móp góc, đóng gói cẩu thả, giao hàng chậm trễ 2 tuần.,",Packaging,negative
chăm sóc khách hàng yêu cầu gửi video camera chụp đêm thiếu chi tiết pin tụt nhanh,Battery,negative
"Nhóm màu: blue 
Dung lượng lưu trữ: 128gb viettel thì yên tâm rồi mọi người ạh. Có điều vận chuyển hơi lâu làm nôn nóng 😅. Săn sale được gia tốt 👌",Price,positive
"Đúng với mô tả: đúng với mô tả 
Tính năng nổi bật: chưa thấy 
Chất lượng sản phẩm: chưa biết trong tầm tiền chắc cũng vậy thoii, cửa hàng giao hàng hơi chậm. Cho 1 sao, sử dụng 3 ngày thấy tốt thì đổi 5*",Price,neutral
màn hình có điểm chết nhỏ. thông số pin thực tế thấp hơn cam kết. hiệu năng xử lý kém không mượt mà. đóng gói mỏng manh dễ hư hỏng. giao hàng tới không đúng địa chỉ đã đặt,Battery,negative
"Tính năng nổi bật: cửa hàng lừa đảo nha mọi người giao máy đúng nhưng mà thiếu khe sim , nhắn tin cửa hàng thì trả lời được vài câu rồi cũng không trả lời luôn",Shipping,negative
"Chất lượng sản phẩm: tốt 
Tính năng nổi bật: tốt 
Đúng với mô tả: ngon với giá tiền này thì nó trùm phân khúc rồi! hiệu năng tốt lại đẹp nữa❤️🌹",Design,positive
Điện thoại đẹp tốt so với tầm giá mượt mà với giá 1xxx mà được điện thoại vậy là quá ổn,Price,positive
Nhận về là máy vivo z5i mà nó cũng chả khác gì y19;màn hình lô;pin kém vẫn chấp nhận được,Display,negative
"kém khác dở camera focus chậm. pin yếu.,",Camera,negative
"Đúng với mô tả: hàng chất lượng tệ hàng quá tệ 
Tính năng nổi bật: không giống mô tả ca mờ quá mờ 
Chất lượng sản phẩm: đặt mấy hồng xanh lại giao cái máy này cửa hàng làm ăn ẩu tả dòng máy trung quốc nữa về nha",Shipping,negative
"Chất lượng sản phẩm: tốt 
Tính năng nổi bật: điện thoại di động 
Đúng với mô tả: đúng mô tả sản phẩm tốt trong tầm giá . đã mua lần 4 . cửa hàng nhiệt tình sẽ quay lại ủng hộ cửa hàng",Price,positive
"Nhóm màu: nhiều màu 
Dung lượng lưu trữ: 128gb điện thoại đẹp, sử dụng 1 tuần không thấy lỗi lầm gì, cửa hàng cực kỳ thân thiện, đáng yêu. Cửa hàng uy tín.",Design,positive
"Màu sắc: black 
Phân loại sản phẩm: có kèm phụ kiện sử dụng thử ba ngày mới đánh giá theo mình thấy rất tốt vừa vặn với tầm kinh tế của học sinh sinh viên và người tiêu sử dụng bình dân nên mua nha mọi người",Price,positive
"Màu sắc: đen 
Phân loại: nguyên seal hàng chuẩn, uy tín",Packaging,positive
"Nhóm màu: xanh dung lượng lưu trữ rộng rãi 128gb, chất lượng camera tuyệt vời để ghi lại những khoảnh khắc,",Camera,positive
Màn hình có kích thước 6.5 inch và độ phân giải Full HD.,Display,neutral
Đúng với mô tả: đúng máy còn rất mới độ bền thì chưa biết ra sao.,General,neutral
"Tính năng nổi bật: ai 
Đúng với mô tả: sản phẩm đúng với mô tả hiện đang sử dụng khá là ổn áp mọi ng ơi",General,positive
"Màu sắc: xanh 
Phiên bản: bản locksim-hư sim đã nhận hàng đúng mô tả giao hàng hơi lâu máy cũng khá mượt ngon hơn cái máy tính bản kia nhiều. Hồi nhỏ hơn so với tưởng tượng của mình.",Performance,positive
"Hiệu năng chơi game kém, fps không ổn định. Ảnh chụp ngoài trời bị cháy sáng. Ship không gọi điện trc khi giao.",Shipping,negative
"Nhóm màu: desert 
Dung lượng lưu trữ: 256gb giao hàng nhanh chóng và hiệu quả, dịch vụ khách hàng xuất sắc,",Shipping,positive
Màu máy: màu đen sản phẩm: samsung a50s 4/64gb máy tốt lắm cửa hàng nhận máy về sài 10ngày nay đánh giá cho cửa hàng nè .máy mới chuẩn chính hãng sử dụng rất êm .xem fim nghe nhạc chuẩn .nói chung ổn giá cũng tốt .cửa hàng có sạc cáp ốp lưng tốt nha sẽ ủng hộ cửa hàng nè .....tặng cửa hàng 5*,Price,positive
"nhận hàng nhanh chóng , cửa hàng tư vấn nhiệt tình , hàng nguyên seal",Shipping,positive
