sentence,aspect,sentiment
Đúng với mô tả: đúng sản phẩm nguyên seal. Unbox và active máy chạy mượt. Chạy tác vụ bình thường thì rất tốt. Không có nhu cầu các loại app hay game nặng nên không để ý. Tuy nhiên có thể do là dòng giá rẻ nên độ hoàn thiện chưa tốt. Cạnh đáy máy có mấy vết sơn bị nổ. Cạnh viền dưới trái có vết như ảnh. Có hơi thất vọng về sản phẩm.,Performance,Positive
Đúng với mô tả: đúng sản phẩm nguyên seal. Unbox và active máy chạy mượt. Chạy tác vụ bình thường thì rất tốt. Không có nhu cầu các loại app hay game nặng nên không để ý. Tuy nhiên có thể do là dòng giá rẻ nên độ hoàn thiện chưa tốt. Cạnh đáy máy có mấy vết sơn bị nổ. Cạnh viền dưới trái có vết như ảnh. Có hơi thất vọng về sản phẩm.,Design,Negative
Đúng với mô tả: đúng sản phẩm nguyên seal. Unbox và active máy chạy mượt. Chạy tác vụ bình thường thì rất tốt. Không có nhu cầu các loại app hay game nặng nên không để ý. Tuy nhiên có thể do là dòng giá rẻ nên độ hoàn thiện chưa tốt. Cạnh đáy máy có mấy vết sơn bị nổ. Cạnh viền dưới trái có vết như ảnh. Có hơi thất vọng về sản phẩm.,Packaging,Positive
"Nút âm lượng lỏng hàng khác với mô tả không có chống rung. Quay video run như cầy sấy, không xem nổi.,",Camera,Negative
"Nút âm lượng lỏng hàng khác với mô tả không có chống rung. Quay video run như cầy sấy, không xem nổi.,",Design,Negative
Variation3: mỹ 2 sim 99% 128gb nắp lưng đằng sau có rất nhiều vết xước và nổ sơn lấm tấm. Màn hình trước có 1 vết xước.,Display,Negative
Variation3: mỹ 2 sim 99% 128gb nắp lưng đằng sau có rất nhiều vết xước và nổ sơn lấm tấm. Màn hình trước có 1 vết xước.,Design,Negative
Máy có vết trầy rất to ở mặt lưng làm xấu ngoại hình.,Design,Negative
Gửi không đúng màu mình chọn.đã vậy máy lại đóng gói xơ sử dụng.máy lại có vết trầy phía trên nữa. Quá thất vọng,Design,Negative
Gửi không đúng màu mình chọn.đã vậy máy lại đóng gói xơ sử dụng.máy lại có vết trầy phía trên nữa. Quá thất vọng,Packaging,Negative
"thân máy dễ bám vân tay tạm được thiết kế không thực tế. mặt lưng của máy làm bằng kính bóng, dù rất đẹp nhưng lại bám mồ hôi và vân tay kinh khủng. mình lau liên tục mà chỉ cầm vào một lúc là lại bẩn, nhìn rất mất thẩm mỹ.",Design,Negative
"hôm nay tôi thực sự thất vọng về chiếc điện thoại mà mình vừa mua. khi đặt hàng, tôi đã chọn đúng mẫu mã theo quảng cáo, thế nhưng khi nhận sản phẩm, mọi thứ lại hoàn toàn khác biệt. trước hết, ngoại hình máy không hề giống như hình ảnh giới thiệu. vỏ máy lỏng lẻo, không giống như mô tả. tệ hơn, cấu hình bên trong cũng không đúng như cam kết. bộ nhớ máy nhỏ hơn nhiều so với thông tin. chỉ sử dụng một thời gian ngắn là máy nóng ran. tôi cảm thấy mình đã bị lừa khi sản phẩm không hề đúng mẫu mã và chất lượng như quảng cáo. một chiếc điện thoại như vậy không chỉ làm mất tiền bạc mà còn gây ra sự bực bội, phiền toái trong công việc và học tập. may cho cửa hàng là e hiền, gặp người nào dữ hơn như cảnh sát hay hình sự thì cửa hàng đã toang rồi, hy vọng cửa hàng mau suy nghĩ lại cách làm việc của mình đi, đừng để sau này phải hối hận. bởi vì làm việc gì cũng có nhân quả của nó cả",Performance,Negative
"hôm nay tôi thực sự thất vọng về chiếc điện thoại mà mình vừa mua. khi đặt hàng, tôi đã chọn đúng mẫu mã theo quảng cáo, thế nhưng khi nhận sản phẩm, mọi thứ lại hoàn toàn khác biệt. trước hết, ngoại hình máy không hề giống như hình ảnh giới thiệu. vỏ máy lỏng lẻo, không giống như mô tả. tệ hơn, cấu hình bên trong cũng không đúng như cam kết. bộ nhớ máy nhỏ hơn nhiều so với thông tin. chỉ sử dụng một thời gian ngắn là máy nóng ran. tôi cảm thấy mình đã bị lừa khi sản phẩm không hề đúng mẫu mã và chất lượng như quảng cáo. một chiếc điện thoại như vậy không chỉ làm mất tiền bạc mà còn gây ra sự bực bội, phiền toái trong công việc và học tập. may cho cửa hàng là e hiền, gặp người nào dữ hơn như cảnh sát hay hình sự thì cửa hàng đã toang rồi, hy vọng cửa hàng mau suy nghĩ lại cách làm việc của mình đi, đừng để sau này phải hối hận. bởi vì làm việc gì cũng có nhân quả của nó cả",Design,Negative
